t,rpm,out,rpm_sp
5171620,60.81,0.0725,60.0
5171630,93.28,0.0206,60.0
5171640,108.32,-0.0076,60.0
5171650,128.08,-0.0448,60.0
5171660,120.1,-0.0413,60.0
5171670,79.89,0.0131,60.0
5171680,53.51,0.0501,60.0
5171690,45.84,0.0604,60.0
5171700,52.69,0.0483,60.0
5171710,51.4,0.0482,60.0
5171720,38.4,0.0684,60.0
5171730,32.57,0.0797,60.0
5171740,42.07,0.0677,60.0
5171750,42.34,0.0689,60.0
5171760,32.29,0.0861,60.0
5171770,29.35,0.0939,60.0
5171780,42.8,0.076,60.0
5171790,52.65,0.0623,60.0
5171800,74.84,0.0287,60.0
5171810,100.36,-0.0124,60.0
5171820,123.15,-0.0516,60.0
5171830,106.41,-0.032,60.0
5171840,73.48,0.0144,60.0
5171850,57.04,0.0387,60.0
5171860,55.1,0.042,60.0
5171870,51.56,0.048,60.0
5171880,44.05,0.0604,60.0
5171890,36.94,0.0732,60.0
5171900,41.91,0.0677,60.0
5171910,34.09,0.0815,60.0
5171920,32.41,0.0866,60.0
5171930,38.97,0.079,60.0
5171940,46.82,0.0691,60.0
5171950,60.85,0.0486,60.0
5171960,66.25,0.0403,60.0
5171970,78.63,0.0206,60.0
5171980,103.24,-0.0194,60.0
5171990,122.73,-0.0543,60.0
5172000,84.96,-0.0022,60.0
5172010,61.85,0.0316,60.0
5172020,65.63,0.0256,60.0
5172030,65.53,0.0251,60.0
5172040,50.82,0.0475,60.0
5172050,46.01,0.0561,60.0
5172060,54.26,0.0447,60.0
5172070,44.39,0.0606,60.0
5172080,39.1,0.0708,60.0
5172090,50.98,0.0545,60.0
5172100,50.84,0.0553,60.0
5172110,42.08,0.0701,60.0
5172120,57.59,0.0481,60.0
5172130,79.81,0.0138,60.0
5172140,104.54,-0.0267,60.0
5172150,110.58,-0.041,60.0
5172160,81.9,-0.0017,60.0
5172170,57.35,0.0343,60.0
5172180,49.87,0.0465,60.0
5172190,54.18,0.0406,60.0
5172200,46.56,0.053,60.0
5172210,36.22,0.0703,60.0
5172220,33.55,0.0768,60.0
5172230,37.82,0.0729,60.0
5172240,34.25,0.0807,60.0
5172250,30.0,0.09,60.0
5172260,38.34,0.0802,60.0
5172270,49.87,0.0645,60.0
5172280,46.02,0.0714,60.0
5172290,43.17,0.0773,60.0
5172300,52.14,0.0651,60.0
5172310,82.73,0.0184,60.0
5172320,113.11,-0.0314,60.0
5172330,121.72,-0.0505,60.0
5172340,93.49,-0.0131,60.0
5172350,66.21,0.026,60.0
5172360,57.4,0.0391,60.0
5172370,52.21,0.0473,60.0
5172380,50.46,0.0507,60.0
5172390,41.71,0.0653,60.0
5172400,34.71,0.0779,60.0
5172410,38.18,0.0751,60.0
5172420,36.38,0.08,60.0
5172430,39.3,0.078,60.0
5172440,44.24,0.0725,60.0
5172450,45.98,0.0715,60.0
5172460,53.09,0.062,60.0
5172470,80.38,0.0202,60.0
5172480,106.9,-0.0231,60.0
5172490,121.49,-0.0508,60.0
5172500,92.69,-0.0126,60.0
5172510,62.48,0.0316,60.0
5172520,69.43,0.0208,60.0
5172530,71.43,0.0167,60.0
5172540,51.49,0.0469,60.0
5172550,46.9,0.0552,60.0
5172560,49.37,0.0526,60.0
5172570,39.31,0.0693,60.0
5172580,36.2,0.0764,60.0
5172590,38.27,0.0755,60.0
5172600,38.89,0.0768,60.0
5172610,54.27,0.0552,60.0
5172620,75.68,0.0224,60.0
5172630,84.32,0.0074,60.0
5172640,102.52,-0.0232,60.0
5172650,116.11,-0.0488,60.0
5172660,91.64,-0.0168,60.0
5172670,58.87,0.031,60.0
5172680,41.19,0.0588,60.0
5172690,48.74,0.049,60.0
5172700,50.08,0.048,60.0
5172710,46.46,0.0546,60.0
5172720,39.03,0.0676,60.0
5172730,36.89,0.073,60.0
5172740,41.83,0.0678,60.0
5172750,43.42,0.067,60.0
5172760,31.91,0.0864,60.0
5172770,30.62,0.0915,60.0
5172780,43.19,0.0749,60.0
5172790,54.48,0.0588,60.0
5172800,78.53,0.022,60.0
5172810,100.4,-0.0139,60.0
5172820,118.23,-0.0458,60.0
5172830,104.2,-0.0301,60.0
5172840,75.18,0.0108,60.0
5172850,57.91,0.0362,60.0
5172860,53.86,0.0429,60.0
5172870,48.74,0.0514,60.0
5172880,40.7,0.0649,60.0
5172890,37.61,0.0717,60.0
5172900,41.65,0.0674,60.0
5172910,33.57,0.0819,60.0
5172920,35.74,0.0812,60.0
5172930,35.31,0.0843,60.0
5172940,49.68,0.0644,60.0
5172950,59.0,0.0509,60.0
5172960,64.01,0.0432,60.0
5172970,80.84,0.0166,60.0
5172980,106.45,-0.0252,60.0
5172990,118.8,-0.0493,60.0
5173000,81.72,0.0021,60.0
5173010,62.03,0.0307,60.0
5173020,65.12,0.0257,60.0
5173030,61.6,0.0304,60.0
5173040,48.84,0.05,60.0
5173050,47.68,0.0532,60.0
5173060,54.58,0.0437,60.0
5173070,42.63,0.0627,60.0
5173080,37.21,0.0731,60.0
5173090,53.58,0.0499,60.0
5173100,47.84,0.0592,60.0
5173110,43.1,0.0681,60.0
5173120,60.52,0.0427,60.0
5173130,85.52,0.0039,60.0
5173140,109.66,-0.0361,60.0
5173150,106.52,-0.0364,60.0
5173160,77.71,0.0036,60.0
5173170,56.49,0.035,60.0
5173180,51.27,0.0436,60.0
5173190,52.71,0.0421,60.0
5173200,45.55,0.0538,60.0
5173210,38.26,0.0666,60.0
5173220,34.04,0.0755,60.0
5173230,38.13,0.0718,60.0
5173240,34.91,0.0791,60.0
5173250,33.7,0.0838,60.0
5173260,38.31,0.0794,60.0
5173270,47.0,0.0679,60.0
5173280,47.25,0.0688,60.0
5173290,42.81,0.0769,60.0
5173300,57.02,0.0567,60.0
5173310,91.51,0.0035,60.0
5173320,119.06,-0.0425,60.0
5173330,120.72,-0.0512,60.0
5173340,91.35,-0.0116,60.0
5173350,63.01,0.0296,60.0
5173360,56.93,0.0388,60.0
5173370,52.77,0.0456,60.0
5173380,48.41,0.053,60.0
5173390,41.76,0.0646,60.0
5173400,35.06,0.0768,60.0
5173410,37.53,0.0754,60.0
5173420,34.95,0.0818,60.0
5173430,41.57,0.0742,60.0
5173440,44.94,0.0709,60.0
5173450,42.51,0.0761,60.0
5173460,54.84,0.0589,60.0
5173470,83.03,0.0156,60.0
5173480,111.18,-0.0307,60.0
5173490,120.7,-0.0508,60.0
5173500,85.68,-0.0029,60.0
5173510,60.9,0.0335,60.0
5173520,69.83,0.0196,60.0
5173530,64.13,0.0271,60.0
5173540,47.52,0.0525,60.0
5173550,49.36,0.0511,60.0
5173560,46.94,0.0557,60.0
5173570,38.19,0.0705,60.0
5173580,38.21,0.0729,60.0
5173590,39.89,0.0723,60.0
5173600,34.8,0.0823,60.0
5173610,59.66,0.0464,60.0
5173620,79.25,0.0158,60.0
5173630,85.89,0.0037,60.0
5173640,103.6,-0.0263,60.0
5173650,116.28,-0.0506,60.0
5173660,89.87,-0.0152,60.0
5173670,54.82,0.0364,60.0
5173680,45.05,0.0524,60.0
5173690,48.31,0.049,60.0
5173700,49.9,0.0476,60.0
5173710,43.77,0.0581,60.0
5173720,39.86,0.0658,60.0
5173730,34.32,0.0764,60.0
5173740,41.68,0.0674,60.0
5173750,43.2,0.0667,60.0
5173760,30.3,0.0884,60.0
5173770,27.33,0.0962,60.0
5173780,46.45,0.0696,60.0
5173790,55.85,0.0563,60.0
5173800,81.43,0.0169,60.0
5173810,103.72,-0.0198,60.0
5173820,118.57,-0.0475,60.0
5173830,97.59,-0.021,60.0
5173840,72.82,0.0139,60.0
5173850,58.34,0.0353,60.0
5173860,55.68,0.0397,60.0
5173870,51.97,0.0459,60.0
5173880,40.11,0.0651,60.0
5173890,37.92,0.0706,60.0
5173900,39.54,0.0701,60.0
5173910,31.58,0.0844,60.0
5173920,32.86,0.0853,60.0
5173930,37.47,0.0809,60.0
5173940,52.57,0.0597,60.0
5173950,59.81,0.0491,60.0
5173960,65.0,0.0412,60.0
5173970,83.13,0.0124,60.0
5173980,109.5,-0.031,60.0
5173990,115.93,-0.0465,60.0
5174000,76.38,0.0091,60.0
5174010,58.12,0.0359,60.0
5174020,66.95,0.0222,60.0
5174030,59.55,0.0327,60.0
5174040,48.21,0.0503,60.0
5174050,49.9,0.0491,60.0
5174060,51.7,0.0472,60.0
5174070,39.26,0.0672,60.0
5174080,40.91,0.067,60.0
5174090,55.15,0.0468,60.0
5174100,47.05,0.0598,60.0
5174110,42.92,0.0677,60.0
5174120,61.41,0.0406,60.0
5174130,88.89,-0.0024,60.0
5174140,111.21,-0.0398,60.0
5174150,104.53,-0.0348,60.0
5174160,73.27,0.0102,140.0
5174170,53.34,0.0432,140.0
5174180,57.04,0.0416,140.0
5174190,58.47,0.0432,140.0
5174200,50.6,0.0593,140.0
5174210,40.63,0.0798,140.0
5174220,45.8,0.0779,140.0
5174230,47.98,0.0804,140.0
5174240,47.33,0.0873,140.0
5174250,59.1,0.0751,140.0
5174260,67.07,0.0675,140.0
5174270,71.4,0.0654,140.0
5174280,106.72,0.0149,140.0
5174290,144.22,-0.0427,140.0
5174300,140.53,-0.0401,140.0
5174310,96.61,0.0261,140.0
5174320,77.42,0.0587,140.0
5174330,78.35,0.0619,140.0
5174340,76.45,0.0694,140.0
5174350,65.04,0.0924,140.0
5174360,74.06,0.085,140.0
5174370,90.18,0.0657,140.0
5174380,117.31,0.0279,140.0
5174390,158.57,-0.0345,140.0
5174400,154.09,-0.0303,140.0
5174410,107.01,0.0416,140.0
5174420,96.55,0.0616,140.0
5174430,105.18,0.0526,140.0
5174440,93.16,0.0752,140.0
5174450,80.8,0.1001,140.0
5174460,119.64,0.047,140.0
5174470,165.86,-0.0218,140.0
5174480,180.7,-0.0464,140.0
5174490,141.72,0.0113,140.0
5174500,97.02,0.0825,140.0
5174510,102.97,0.0798,140.0
5174520,116.64,0.0643,140.0
5174530,98.33,0.0973,140.0
5174540,121.97,0.0677,140.0
5174550,189.11,-0.0322,140.0
5174560,195.94,-0.0462,140.0
5174570,136.11,0.0411,140.0
5174580,99.47,0.0987,140.0
5174590,113.51,0.0811,140.0
5174600,118.01,0.0767,140.0
5174610,134.21,0.0539,140.0
5174620,172.04,-0.0045,140.0
5174630,194.5,-0.0431,140.0
5174640,145.38,0.0275,140.0
5174650,111.08,0.0806,140.0
5174660,128.97,0.0557,140.0
5174670,125.36,0.0622,140.0
5174680,118.63,0.0744,140.0
5174690,160.98,0.0108,140.0
5174700,189.0,-0.0354,140.0
5174710,151.56,0.0174,140.0
5174720,104.12,0.0904,140.0
5174730,100.85,0.0994,140.0
5174740,115.81,0.0799,140.0
5174750,123.03,0.071,140.0
5174760,146.32,0.037,140.0
5174770,193.73,-0.0377,140.0
5174780,181.25,-0.0245,140.0
5174790,124.86,0.059,140.0
5174800,100.7,0.0987,140.0
5174810,111.29,0.0862,140.0
5174820,121.62,0.0729,140.0
5174830,154.56,0.024,140.0
5174840,198.2,-0.0453,140.0
5174850,170.15,-0.0083,140.0
5174860,115.49,0.0737,140.0
5174870,116.35,0.0751,140.0
5174880,125.49,0.0629,140.0
5174890,117.42,0.0773,140.0
5174900,155.62,0.0205,140.0
5174910,194.73,-0.042,140.0
5174920,173.76,-0.0156,140.0
5174930,118.08,0.0676,140.0
5174940,102.75,0.094,140.0
5174950,121.9,0.068,140.0
5174960,113.8,0.0821,140.0
5174970,139.62,0.0453,140.0
5174980,191.97,-0.0361,140.0
5174990,185.91,-0.0327,140.0
5175000,125.55,0.0566,140.0
5175010,102.77,0.0939,140.0
5175020,116.44,0.0765,140.0
5175030,119.35,0.0744,140.0
5175040,141.58,0.0421,140.0
5175050,182.35,-0.0213,140.0
5175060,189.66,-0.0375,140.0
5175070,136.07,0.0409,140.0
5175080,116.83,0.0721,140.0
5175090,131.73,0.0511,140.0
5175100,119.54,0.0707,140.0
5175110,124.72,0.065,140.0
5175120,169.13,-0.0023,140.0
5175130,189.15,-0.0369,140.0
5175140,140.74,0.0333,140.0
5175150,99.57,0.0977,140.0
5175160,107.75,0.0893,140.0
5175170,116.6,0.0787,140.0
5175180,120.81,0.0744,140.0
5175190,155.41,0.0227,140.0
5175200,199.66,-0.048,140.0
5175210,170.44,-0.0093,140.0
