t,rpm,out,rpm_sp
252645,-0.0,0.0,0.0
252655,-0.0,0.0031,80.0
252665,-0.0,0.0064,80.0
252675,-0.0,0.0099,80.0
252685,-0.0,0.0136,80.0
252695,-0.0,0.0175,80.0
252705,-0.0,0.0217,80.0
252715,-0.0,0.026,80.0
252725,-0.0,0.0305,80.0
252735,-0.0,0.0352,80.0
252745,-0.0,0.0401,80.0
252755,6.36,0.0353,80.0
252765,10.22,0.0339,80.0
252775,8.92,0.0404,80.0
252785,10.85,0.0421,80.0
252795,13.35,0.043,80.0
252805,14.25,0.0463,80.0
252815,16.02,0.0486,80.0
252825,17.48,0.0512,80.0
252835,16.63,0.0574,80.0
252845,12.44,0.069,80.0
252855,14.46,0.0718,80.0
252865,20.41,0.0682,80.0
252875,16.04,0.0804,80.0
252885,16.74,0.0857,80.0
252895,28.29,0.0739,80.0
252905,28.77,0.0783,80.0
252915,31.97,0.0788,80.0
252925,38.73,0.0735,80.0
252935,56.46,0.0507,80.0
252945,81.78,0.0146,80.0
252955,106.02,-0.0221,80.0
252965,120.01,-0.0452,80.0
252975,92.97,-0.006,80.0
252985,66.85,0.0354,80.0
252995,76.16,0.0243,80.0
253005,75.0,0.0285,80.0
253015,60.09,0.0546,80.0
253025,54.44,0.0681,80.0
253035,57.59,0.0683,80.0
253045,54.97,0.0775,80.0
253055,50.15,0.0876,80.0
253065,70.32,0.0594,80.0
253075,96.38,0.0199,80.0
253085,118.47,-0.0161,80.0
253095,136.4,-0.048,80.0
253105,111.62,-0.0152,80.0
253115,77.1,0.0355,80.0
253125,53.74,0.0722,80.0
253135,63.78,0.0593,80.0
253145,72.25,0.0475,80.0
253155,48.7,0.0847,80.0
253165,47.71,0.0896,80.0
253175,60.23,0.0732,80.0
253185,51.74,0.0885,80.0
253195,56.12,0.0849,80.0
253205,84.53,0.0432,80.0
253215,118.31,-0.0099,80.0
253225,143.54,-0.0534,80.0
253235,118.51,-0.0212,80.0
253245,82.61,0.0309,80.0
253255,68.04,0.0535,80.0
253265,66.57,0.057,80.0
253275,61.83,0.0658,80.0
253285,53.71,0.0802,80.0
253295,51.88,0.0857,80.0
253305,51.16,0.0896,80.0
253315,66.54,0.0686,80.0
253325,80.44,0.0484,80.0
253335,104.0,0.0119,80.0
253345,131.66,-0.0335,80.0
253355,130.28,-0.037,80.0
253365,91.13,0.0188,80.0
253375,75.72,0.0417,80.0
253385,83.28,0.0303,80.0
253395,69.74,0.0509,80.0
253405,65.18,0.0594,80.0
253415,63.44,0.0636,80.0
253425,68.51,0.0575,80.0
253435,68.19,0.059,80.0
253445,70.47,0.0569,80.0
253455,96.63,0.0172,80.0
253465,128.82,-0.0346,80.0
253475,130.11,-0.0419,80.0
253485,86.9,0.0203,80.0
253495,62.65,0.0576,80.0
253505,70.04,0.0482,80.0
253515,66.39,0.0548,80.0
253525,50.08,0.0818,80.0
253535,45.31,0.0923,80.0
253545,53.16,0.0835,80.0
253555,49.06,0.0925,80.0
253565,53.64,0.0886,80.0
253575,65.23,0.0732,80.0
253585,88.74,0.0383,80.0
253595,123.34,-0.0164,80.0
253605,143.11,-0.0518,80.0
253615,122.02,-0.0258,80.0
253625,81.93,0.0325,80.0
253635,65.56,0.0581,80.0
253645,70.34,0.0521,80.0
253655,67.27,0.0576,80.0
253665,46.52,0.0911,80.0
253675,45.23,0.0968,80.0
253685,66.0,0.068,80.0
253695,74.98,0.0555,80.0
253705,89.31,0.0338,80.0
253715,119.65,-0.0144,80.0
253725,140.27,-0.0507,80.0
253735,99.64,0.006,80.0
253745,75.48,0.042,80.0
253755,82.55,0.0315,80.0
253765,78.61,0.037,80.0
253775,60.64,0.0652,80.0
253785,57.58,0.0721,80.0
253795,61.11,0.0688,80.0
253805,56.53,0.0779,80.0
253815,68.53,0.062,80.0
253825,98.24,0.017,80.0
253835,118.4,-0.0163,80.0
253845,137.68,-0.0504,80.0
253855,108.9,-0.0117,80.0
253865,72.57,0.0419,80.0
253875,58.18,0.0653,80.0
253885,67.85,0.0526,80.0
253895,68.75,0.0521,80.0
253905,50.07,0.0822,80.0
253915,49.84,0.0857,80.0
253925,59.36,0.0736,80.0
253935,47.07,0.0948,80.0
253945,60.57,0.0774,80.0
253955,92.74,0.0295,80.0
253965,128.19,-0.027,80.0
253975,141.62,-0.0531,80.0
253985,111.13,-0.012,80.0
253995,79.04,0.035,80.0
254005,68.8,0.0513,80.0
254015,66.08,0.0565,80.0
254025,60.01,0.0675,80.0
254035,53.65,0.0794,80.0
254045,51.53,0.0853,80.0
254055,56.47,0.0806,80.0
254065,69.73,0.0623,80.0
254075,85.31,0.0391,80.0
254085,108.05,0.0034,80.0
254095,136.75,-0.044,80.0
254105,120.05,-0.0243,80.0
254115,82.69,0.0298,80.0
254125,80.65,0.0329,80.0
254135,81.94,0.0307,80.0
254145,65.23,0.0565,80.0
254155,64.95,0.0585,80.0
254165,64.49,0.0609,80.0
254175,71.01,0.0524,80.0
254185,65.02,0.0626,80.0
254195,76.02,0.0472,80.0
254205,103.92,0.0042,80.0
254215,129.39,-0.0381,80.0
254225,117.82,-0.0257,80.0
254235,77.34,0.0335,80.0
254245,64.01,0.0548,80.0
254255,67.95,0.0503,80.0
254265,62.08,0.0603,80.0
254275,47.49,0.0848,80.0
254285,48.0,0.0873,80.0
254295,51.83,0.0845,80.0
254305,50.39,0.0897,80.0
254315,57.06,0.0823,80.0
254325,72.66,0.0603,80.0
254335,95.45,0.0257,80.0
254345,129.2,-0.0283,80.0
254355,142.84,-0.0547,80.0
254365,105.75,-0.0036,80.0
254375,72.52,0.0456,80.0
254385,71.45,0.0482,80.0
254395,74.53,0.0443,80.0
254405,61.37,0.0653,80.0
254415,45.79,0.0916,80.0
254425,50.69,0.0875,80.0
254435,63.2,0.0708,80.0
254445,74.12,0.0555,80.0
254455,96.45,0.0216,80.0
254465,126.83,-0.0273,80.0
254475,135.8,-0.0465,80.0
254485,92.01,0.0159,80.0
254495,73.99,0.0432,80.0
254505,87.18,0.0232,80.0
254515,74.51,0.042,80.0
254525,55.74,0.0718,80.0
254535,61.04,0.066,80.0
254545,56.97,0.0741,80.0
254555,55.26,0.0791,80.0
254565,72.13,0.0556,80.0
254575,100.64,0.012,80.0
254585,124.13,-0.0265,80.0
254595,134.93,-0.048,80.0
254605,102.03,-0.0025,80.0
254615,68.73,0.0471,80.0
254625,55.59,0.0686,80.0
254635,70.64,0.0478,80.0
254645,68.1,0.0525,80.0
254655,49.72,0.0824,80.0
254665,54.4,0.0783,80.0
254675,56.1,0.0779,80.0
254685,47.62,0.0935,80.0
254695,57.89,0.0809,80.0
254705,95.22,0.0251,80.0
254715,130.58,-0.0316,80.0
254725,139.19,-0.0505,80.0
254735,104.54,-0.0026,80.0
254745,77.28,0.0375,80.0
254755,70.35,0.0488,80.0
254765,69.46,0.0511,80.0
254775,60.51,0.0661,80.0
254785,53.37,0.0792,80.0
254795,54.66,0.08,80.0
254805,61.34,0.0722,80.0
254815,73.06,0.0557,80.0
254825,87.1,0.0348,80.0
254835,111.98,-0.0046,80.0
254845,136.9,-0.0467,80.0
254855,112.44,-0.0147,80.0
254865,79.21,0.0339,80.0
254875,81.4,0.0307,80.0
254885,79.73,0.0329,80.0
254895,63.06,0.0589,80.0
254905,63.29,0.0603,80.0
254915,62.78,0.0627,80.0
254925,70.0,0.0533,80.0
254935,67.87,0.0577,80.0
254945,77.34,0.0444,80.0
254955,108.45,-0.0037,80.0
254965,131.51,-0.0426,80.0
254975,113.36,-0.0199,80.0
254985,72.02,0.0411,80.0
254995,65.19,0.0528,80.0
255005,72.25,0.0433,80.0
255015,59.73,0.0634,80.0
255025,47.58,0.0844,80.0
255035,50.28,0.0835,80.0
255045,49.38,0.0877,80.0
255055,50.23,0.0894,80.0
255065,60.36,0.0767,80.0
255075,74.48,0.0568,80.0
255085,100.11,0.0176,80.0
255095,130.46,-0.0316,80.0
255105,140.34,-0.0523,80.0
255115,101.58,0.0017,80.0
255125,72.73,0.0447,80.0
255135,68.72,0.0518,80.0
255145,74.62,0.0436,80.0
255155,56.3,0.0725,80.0
255165,45.16,0.0921,80.0
255175,51.78,0.0854,80.0
255185,63.44,0.0699,80.0
255195,74.38,0.0546,80.0
255205,100.08,0.0152,80.0
255215,130.25,-0.0337,80.0
255225,129.78,-0.0385,80.0
255235,88.29,0.0209,80.0
255245,77.33,0.0376,80.0
255255,83.66,0.0279,80.0
255265,72.87,0.044,80.0
255275,56.97,0.0695,80.0
255285,57.92,0.0704,80.0
255295,60.83,0.068,80.0
255305,56.44,0.0768,80.0
255315,75.22,0.0504,80.0
255325,101.59,0.0098,80.0
255335,126.02,-0.0304,80.0
255345,132.34,-0.0452,80.0
255355,100.52,-0.001,80.0
255365,69.6,0.0452,80.0
255375,56.65,0.0665,80.0
255385,70.96,0.0467,80.0
255395,68.47,0.0514,80.0
255405,48.28,0.0841,80.0
255415,56.77,0.0744,80.0
255425,56.26,0.0771,80.0
255435,49.07,0.0908,80.0
255445,61.67,0.0746,80.0
255455,98.86,0.0187,80.0
255465,129.43,-0.0308,80.0
255475,137.56,-0.0491,80.0
255485,99.89,0.0037,80.0
255495,73.69,0.0426,80.0
255505,73.76,0.0433,80.0
255515,71.11,0.0482,80.0
255525,60.16,0.0663,80.0
255535,53.55,0.0786,80.0
255545,53.74,0.081,80.0
255555,64.07,0.0677,80.0
255565,71.6,0.0575,80.0
255575,88.5,0.0322,80.0
255585,114.74,-0.0094,80.0
255595,135.26,-0.0449,80.0
255605,109.45,-0.0108,80.0
255615,81.43,0.0301,80.0
255625,83.61,0.0269,80.0
255635,78.65,0.0342,80.0
255645,63.36,0.0582,80.0
255655,63.67,0.0595,80.0
255665,63.33,0.0616,80.0
255675,69.49,0.0537,80.0
255685,64.76,0.0621,80.0
255695,79.33,0.041,80.0
255705,109.81,-0.0063,80.0
255715,132.25,-0.0443,80.0
255725,108.15,-0.0125,80.0
255735,72.92,0.0395,80.0
255745,65.63,0.0519,80.0
255755,72.91,0.042,80.0
255765,57.8,0.0661,80.0
255775,48.97,0.0821,80.0
255785,51.78,0.0811,80.0
255795,50.96,0.0851,80.0
255805,51.94,0.0866,80.0
255815,60.51,0.0762,80.0
255825,76.27,0.0537,80.0
255835,100.84,0.016,80.0
255845,132.19,-0.035,80.0
255855,137.78,-0.0493,80.0
255865,96.49,0.0089,80.0
255875,71.17,0.0469,80.0
255885,72.56,0.0457,80.0
255895,70.75,0.0491,80.0
255905,58.23,0.0695,80.0
255915,47.28,0.0888,80.0
255925,53.1,0.0832,80.0
255935,61.88,0.0721,80.0
255945,75.6,0.0525,80.0
255955,98.88,0.0166,80.0
