t,rpm,out,rpm_sp
4870390,93.05,0.0799,120.0
4870400,105.64,0.0605,80.0
4870410,97.58,0.0708,80.0
4870420,75.63,0.1039,80.0
4870430,111.91,0.0487,80.0
4870440,154.31,-0.0205,80.0
4870450,173.29,-0.0579,80.0
4870460,133.9,-0.0065,80.0
4870470,84.08,0.0652,80.0
4870480,75.78,0.0774,80.0
4870490,91.61,0.0522,80.0
4870500,70.64,0.0826,80.0
4870510,65.75,0.09,80.0
4870520,64.88,0.0914,80.0
4870530,85.54,0.0594,80.0
4870540,121.85,0.0005,80.0
4870550,148.02,-0.0467,80.0
4870560,131.86,-0.0312,80.0
4870570,91.06,0.0245,80.0
4870580,67.11,0.0581,80.0
4870590,65.53,0.0592,80.0
4870600,59.64,0.069,80.0
4870610,52.81,0.0816,80.0
4870620,53.1,0.0841,80.0
4870630,54.09,0.0853,80.0
4870640,65.76,0.0698,80.0
4870650,81.43,0.0468,80.0
4870660,97.01,0.0225,80.0
4870670,121.24,-0.0168,80.0
4870680,138.85,-0.0488,80.0
4870690,101.79,0.0028,80.0
4870700,74.47,0.0436,80.0
4870710,77.8,0.0391,80.0
4870720,73.86,0.0452,80.0
4870730,61.9,0.0645,80.0
4870740,60.74,0.0681,80.0
4870750,64.21,0.0646,80.0
4870760,65.99,0.0632,80.0
4870770,61.83,0.0711,80.0
4870780,83.69,0.039,80.0
4870790,119.41,-0.0169,80.0
4870800,134.62,-0.0449,80.0
4870810,102.59,-0.001,80.0
4870820,65.49,0.0546,80.0
4870830,60.38,0.0641,80.0
4870840,69.54,0.0516,80.0
4870850,51.52,0.0804,80.0
4870860,40.39,0.1006,80.0
4870870,52.27,0.0861,80.0
4870880,58.68,0.0789,80.0
4870890,63.89,0.073,80.0
4870900,65.0,0.0728,80.0
4870910,79.93,0.0515,80.0
4870920,118.3,-0.0082,80.0
4870930,149.03,-0.0601,80.0
4870940,124.62,-0.0294,80.0
4870950,84.75,0.0283,80.0
4870960,62.11,0.0634,80.0
4870970,70.82,0.0518,80.0
4870980,63.51,0.0639,80.0
4870990,48.64,0.0888,80.0
4871000,51.37,0.0878,80.0
4871010,62.17,0.0739,80.0
4871020,65.1,0.0711,80.0
4871030,79.61,0.0504,80.0
4871040,114.89,-0.0043,80.0
4871050,141.9,-0.05,80.0
4871060,119.79,-0.0225,80.0
4871070,75.69,0.0421,80.0
4871080,77.5,0.04,80.0
4871090,80.48,0.0354,80.0
4871100,64.07,0.0607,80.0
4871110,54.96,0.0765,80.0
4871120,56.6,0.0765,80.0
4871130,56.32,0.0792,80.0
4871140,63.71,0.0704,80.0
4871150,98.3,0.0182,80.0
4871160,113.75,-0.0078,80.0
4871170,137.05,-0.0476,80.0
4871180,119.05,-0.0257,80.0
4871190,81.99,0.028,80.0
4871200,55.17,0.0696,80.0
4871210,64.43,0.0579,80.0
4871220,72.94,0.046,80.0
4871230,48.91,0.0839,80.0
4871240,52.51,0.0817,80.0
4871250,64.08,0.0664,80.0
4871260,50.6,0.089,80.0
4871270,58.35,0.0803,80.0
4871280,94.1,0.027,80.0
4871290,126.07,-0.0242,80.0
4871300,139.7,-0.0502,80.0
4871310,110.18,-0.0105,80.0
4871320,80.06,0.0334,80.0
4871330,66.0,0.0554,80.0
4871340,65.48,0.0575,80.0
4871350,58.36,0.0699,80.0
4871360,51.95,0.0819,80.0
4871370,51.41,0.0856,80.0
4871380,52.37,0.0868,80.0
4871390,67.87,0.0653,80.0
4871400,84.49,0.0407,80.0
4871410,95.63,0.023,80.0
4871420,123.89,-0.0227,80.0
4871430,133.56,-0.0428,80.0
4871440,94.67,0.0123,80.0
4871450,75.16,0.0417,80.0
4871460,77.94,0.038,80.0
4871470,71.71,0.0476,80.0
4871480,61.5,0.0644,80.0
4871490,62.84,0.0642,80.0
4871500,66.6,0.0603,80.0
4871510,65.17,0.0637,80.0
4871520,64.56,0.0663,80.0
4871530,91.8,0.0257,80.0
4871540,120.72,-0.0206,80.0
4871550,132.37,-0.0432,80.0
4871560,94.37,0.0104,80.0
4871570,64.0,0.0564,80.0
4871580,63.87,0.0583,80.0
4871590,70.81,0.0489,80.0
4871600,52.17,0.0789,80.0
4871610,43.57,0.0952,80.0
4871620,48.61,0.091,80.0
4871630,58.0,0.0796,80.0
4871640,67.06,0.0675,80.0
4871650,63.62,0.0741,80.0
4871660,81.77,0.048,80.0
4871670,121.05,-0.0133,80.0
4871680,148.67,-0.0608,80.0
4871690,120.08,-0.0236,80.0
4871700,76.51,0.0403,80.0
4871710,63.59,0.061,80.0
4871720,69.33,0.0536,80.0
4871730,62.68,0.0648,80.0
4871740,49.15,0.0878,80.0
4871750,51.46,0.0874,80.0
4871760,60.89,0.0754,80.0
4871770,64.77,0.0713,80.0
4871780,79.88,0.0497,80.0
4871790,114.9,-0.0046,80.0
4871800,141.6,-0.0498,80.0
4871810,118.57,-0.0208,80.0
4871820,74.58,0.044,80.0
4871830,78.37,0.0388,80.0
4871840,83.12,0.0313,80.0
4871850,64.43,0.0602,80.0
4871860,56.7,0.0741,80.0
4871870,58.6,0.0734,80.0
4871880,54.51,0.0818,80.0
4871890,65.84,0.0671,80.0
4871900,96.18,0.0212,80.0
4871910,116.06,-0.0114,80.0
4871920,137.18,-0.0478,80.0
4871930,119.53,-0.0264,80.0
4871940,82.32,0.0276,80.0
4871950,56.86,0.0672,80.0
4871960,62.61,0.0608,80.0
4871970,71.42,0.0484,80.0
4871980,50.8,0.0812,80.0
4871990,53.08,0.0809,80.0
4872000,63.73,0.0669,80.0
4872010,50.64,0.089,80.0
4872020,60.33,0.0772,80.0
4872030,95.24,0.0251,80.0
4872040,124.64,-0.0221,80.0
4872050,138.63,-0.0487,80.0
4872060,110.45,-0.0109,80.0
4872070,80.41,0.0329,80.0
4872080,69.06,0.0507,80.0
4872090,67.83,0.0538,80.0
4872100,59.76,0.0676,80.0
4872110,53.22,0.0798,80.0
4872120,52.34,0.084,80.0
4872130,54.68,0.0829,80.0
4872140,71.25,0.0596,80.0
4872150,82.61,0.0428,80.0
4872160,98.1,0.0186,80.0
4872170,131.89,-0.0358,80.0
4872180,130.72,-0.0397,80.0
4872190,88.1,0.0217,80.0
4872200,73.93,0.0432,80.0
4872210,81.43,0.0321,80.0
4872220,69.32,0.0507,80.0
4872230,64.35,0.0598,80.0
4872240,61.48,0.0659,80.0
4872250,64.58,0.0629,80.0
4872260,64.35,0.0646,80.0
4872270,68.62,0.0596,80.0
4872280,93.35,0.0226,80.0
4872290,124.06,-0.0265,80.0
4872300,129.28,-0.0394,80.0
4872310,91.7,0.0138,80.0
4872320,64.04,0.056,80.0
4872330,66.56,0.0539,80.0
4872340,68.66,0.0517,80.0
4872350,51.0,0.0803,80.0
4872360,45.97,0.0912,80.0
4872370,48.97,0.0898,80.0
4872380,58.97,0.0773,80.0
4872390,64.83,0.0701,80.0
4872400,62.94,0.0745,80.0
4872410,86.25,0.0401,80.0
4872420,126.24,-0.0228,80.0
4872430,145.34,-0.0575,80.0
4872440,109.75,-0.0092,80.0
4872450,73.04,0.045,80.0
4872460,66.63,0.0558,80.0
4872470,67.69,0.0553,80.0
4872480,59.46,0.069,80.0
4872490,50.04,0.0859,80.0
4872500,52.48,0.0854,80.0
4872510,64.55,0.0693,80.0
4872520,66.83,0.0675,80.0
4872530,84.43,0.0418,80.0
4872540,120.18,-0.0142,80.0
4872550,143.22,-0.0542,80.0
4872560,108.87,-0.0076,80.0
4872570,75.11,0.0423,80.0
4872580,81.14,0.0337,80.0
4872590,81.13,0.0333,80.0
4872600,62.32,0.0626,80.0
4872610,57.91,0.0714,80.0
4872620,59.2,0.0716,80.0
4872630,52.58,0.0839,80.0
4872640,72.58,0.056,80.0
4872650,99.85,0.0142,80.0
4872660,121.93,-0.0221,80.0
4872670,135.44,-0.0474,80.0
4872680,110.83,-0.0149,80.0
4872690,75.54,0.0369,80.0
4872700,55.74,0.0682,80.0
4872710,68.57,0.0508,80.0
4872720,69.88,0.0497,80.0
4872730,50.26,0.0814,80.0
4872740,54.57,0.0779,80.0
4872750,61.55,0.0691,80.0
4872760,50.35,0.0885,80.0
4872770,64.56,0.0697,80.0
4872780,99.26,0.0173,80.0
4872790,129.62,-0.0319,80.0
4872800,134.4,-0.0448,80.0
4872810,103.4,-0.0021,80.0
4872820,74.93,0.0401,80.0
4872830,70.27,0.0481,80.0
4872840,68.94,0.0511,80.0
4872850,58.3,0.0688,80.0
4872860,50.67,0.0828,80.0
4872870,53.76,0.081,80.0
4872880,58.09,0.0769,80.0
4872890,71.64,0.0578,80.0
4872900,82.73,0.0414,80.0
4872910,105.12,0.0065,80.0
4872920,134.36,-0.0415,80.0
4872930,121.06,-0.0269,80.0
4872940,81.98,0.0298,80.0
4872950,76.79,0.0379,80.0
4872960,79.74,0.0336,80.0
4872970,65.31,0.0558,80.0
4872980,61.89,0.0627,80.0
4872990,62.46,0.0636,80.0
4873000,65.61,0.0605,80.0
4873010,65.22,0.0625,80.0
4873020,67.29,0.0609,80.0
4873030,96.63,0.0167,80.0
4873040,129.19,-0.0356,80.0
4873050,126.48,-0.0367,80.0
4873060,88.47,0.0178,80.0
4873070,63.68,0.0559,80.0
4873080,69.54,0.0487,80.0
4873090,67.81,0.0523,80.0
4873100,49.63,0.0819,80.0
4873110,44.94,0.0924,80.0
4873120,50.56,0.087,80.0
4873130,59.75,0.0756,80.0
4873140,65.22,0.069,80.0
4873150,66.1,0.0691,80.0
4873160,90.5,0.0329,80.0
4873170,129.89,-0.0295,80.0
4873180,141.79,-0.0534,80.0
4873190,104.52,-0.0021,80.0
4873200,74.23,0.0427,80.0
4873210,67.0,0.0546,80.0
4873220,71.15,0.0495,80.0
4873230,57.09,0.0721,80.0
4873240,48.09,0.0884,80.0
4873250,54.89,0.081,80.0
4873260,63.5,0.0702,80.0
4873270,66.13,0.0679,80.0
4873280,87.39,0.0364,80.0
4873290,123.79,-0.0208,80.0
4873300,141.71,-0.0533,80.0
4873310,105.35,-0.0032,80.0
4873320,72.03,0.0464,80.0
4873330,83.76,0.029,80.0
4873340,76.66,0.0393,80.0
4873350,59.63,0.0661,80.0
4873360,57.13,0.0723,80.0
4873370,61.3,0.068,80.0
4873380,54.02,0.0813,80.0
4873390,75.27,0.0513,80.0
4873400,101.34,0.0112,80.0
4873410,119.35,-0.019,80.0
4873420,135.29,-0.0481,80.0
4873430,109.17,-0.0132,80.0
4873440,74.17,0.0386,80.0
4873450,56.21,0.0673,80.0
4873460,68.71,0.0503,80.0
4873470,66.22,0.0549,80.0
4873480,48.54,0.0839,80.0
4873490,57.98,0.0724,80.0
4873500,61.59,0.0687,80.0
4873510,47.94,0.0919,80.0
4873520,67.9,0.0644,80.0
4873530,103.25,0.0107,80.0
4873540,128.63,-0.0311,80.0
4873550,133.79,-0.0445,80.0
4873560,98.18,0.0053,80.0
4873570,75.19,0.0394,80.0
4873580,72.73,0.044,80.0
4873590,67.44,0.0529,80.0
4873600,58.47,0.0682,80.0
4873610,55.98,0.0744,80.0
4873620,55.76,0.0773,80.0
4873630,60.9,0.072,80.0
4873640,76.44,0.0498,80.0
4873650,84.69,0.0374,80.0
4873660,109.6,-0.0017,80.0
4873670,136.34,-0.0461,80.0
4873680,115.14,-0.0193,80.0
4873690,79.04,0.0333,80.0
4873700,77.65,0.0358,80.0
4873710,80.09,0.0322,80.0
4873720,65.52,0.0549,80.0
4873730,61.69,0.0624,80.0
4873740,62.26,0.0633,80.0
4873750,66.68,0.0584,80.0
4873760,65.43,0.0616,80.0
4873770,72.02,0.053,80.0
4873780,103.04,0.0058,80.0
4873790,131.29,-0.0404,80.0
4873800,122.87,-0.0327,80.0
4873810,80.51,0.0288,80.0
4873820,63.33,0.0558,80.0
4873830,71.55,0.045,80.0
4873840,65.33,0.0555,80.0
4873850,47.34,0.0852,80.0
4873860,48.26,0.087,80.0
4873870,54.06,0.0811,80.0
4873880,61.53,0.0722,80.0
4873890,64.76,0.069,80.0
4873900,66.1,0.0685,80.0
4873910,92.44,0.0292,80.0
4873920,134.43,-0.0374,80.0
4873930,142.0,-0.0549,80.0
4873940,102.92,-0.0004,80.0
4873950,73.14,0.0439,80.0
4873960,69.46,0.0505,80.0
4873970,68.56,0.0529,80.0
4873980,57.0,0.0719,80.0
4873990,49.76,0.0857,80.0
4874000,56.09,0.079,80.0
4874010,63.87,0.0694,80.0
4874020,68.82,0.0634,80.0
4874030,89.62,0.0326,80.0
4874040,125.51,-0.0242,80.0
4874050,140.68,-0.0524,80.0
4874060,100.23,0.004,80.0
4874070,72.15,0.0459,80.0
4874080,86.42,0.0246,80.0
4874090,76.55,0.0392,80.0
4874100,60.24,0.0649,80.0
4874110,57.46,0.0715,80.0
4874120,61.41,0.0676,80.0
4874130,54.47,0.0803,80.0
4874140,75.37,0.0508,80.0
4874150,104.05,0.0067,80.0
4874160,123.53,-0.0259,80.0
4874170,132.9,-0.045,80.0
4874180,108.69,-0.0128,80.0
4874190,74.02,0.0385,80.0
4874200,56.5,0.0665,80.0
4874210,67.86,0.0512,80.0
4874220,66.51,0.0542,80.0
4874230,49.23,0.0826,80.0
4874240,58.9,0.0708,80.0
4874250,58.52,0.0731,80.0
4874260,49.42,0.0895,80.0
4874270,67.04,0.0656,80.0
4874280,102.66,0.0116,80.0
4874290,130.62,-0.0342,80.0
4874300,132.42,-0.0426,80.0
4874310,97.96,0.0056,80.0
4874320,76.27,0.0379,80.0
4874330,73.06,0.0435,80.0
4874340,70.29,0.0486,80.0
4874350,59.91,0.0659,80.0
4874360,54.71,0.0762,80.0
4874370,57.23,0.0749,80.0
4874380,60.83,0.0718,80.0
4874390,76.42,0.0496,80.0
4874400,84.54,0.0373,80.0
4874410,108.47,-0.0004,80.0
4874420,135.82,-0.0459,80.0
4874430,113.62,-0.0175,80.0
4874440,76.78,0.0365,80.0
4874450,76.05,0.0381,80.0
