label,duty,t,rpm,out
baseline,0.035,17325,0.0,0.0
baseline,0.035,17335,0.0,0.0
baseline,0.035,17345,0.0,0.0
baseline,0.035,17355,0.0,0.0
baseline,0.035,17365,0.0,0.0
baseline,0.035,17375,0.0,0.0
baseline,0.035,17385,0.0,0.0
baseline,0.035,17395,0.0,0.0
baseline,0.035,17405,0.0,0.0
baseline,0.035,17415,0.0,0.0
baseline,0.035,17425,0.0,0.0
baseline,0.035,17435,0.0,0.0
baseline,0.035,17445,0.0,0.0
baseline,0.035,17455,0.0,0.0
baseline,0.035,17465,0.0,0.0
baseline,0.035,17475,0.0,0.0
baseline,0.035,17485,0.0,0.0
baseline,0.035,17495,0.0,0.0
baseline,0.035,17505,0.0,0.0
baseline,0.035,17515,0.0,0.0
baseline,0.035,17525,0.0,0.0
baseline,0.035,17535,0.0,0.0
baseline,0.035,17545,0.0,0.0
baseline,0.035,17555,0.0,0.0
baseline,0.035,17565,0.0,0.0
baseline,0.035,17575,0.0,0.0
baseline,0.035,17585,0.0,0.0
baseline,0.035,17595,0.0,0.0
baseline,0.035,17605,0.0,0.0
baseline,0.035,17615,0.0,0.0
baseline,0.035,17625,0.0,0.0
baseline,0.035,17635,0.0,0.0
baseline,0.035,17645,0.0,0.0
baseline,0.035,17655,0.0,0.0
baseline,0.035,17665,0.0,0.0
baseline,0.035,17675,0.0,0.0
baseline,0.035,17685,0.0,0.0
baseline,0.035,17695,0.0,0.0
baseline,0.035,17705,0.0,0.0
baseline,0.035,17715,0.0,0.0
baseline,0.035,17725,0.0,0.0
baseline,0.035,17735,0.0,0.0
baseline,0.035,17745,0.0,0.0
baseline,0.035,17755,0.0,0.0
baseline,0.035,17765,0.0,0.0
baseline,0.035,17775,0.0,0.0
baseline,0.035,17785,0.0,0.0
baseline,0.035,17795,0.0,0.0
baseline,0.035,17805,0.0,0.0
baseline,0.035,17815,0.0,0.0
baseline,0.035,17825,0.0,0.0
baseline,0.035,17835,0.0,0.0
baseline,0.035,17845,0.0,0.0
baseline,0.035,17855,0.0,0.0
baseline,0.035,17865,0.0,0.0
baseline,0.035,17875,0.0,0.0
baseline,0.035,17885,0.0,0.0
baseline,0.035,17895,0.0,0.0
baseline,0.035,17905,0.0,0.0
baseline,0.035,17915,0.0,0.0
baseline,0.035,17925,0.0,0.0
baseline,0.035,17935,0.0,0.0
baseline,0.035,17945,0.0,0.0
baseline,0.035,17955,0.0,0.0
baseline,0.035,17965,0.0,0.0
baseline,0.035,17975,0.0,0.0
