label,duty,t,rpm,out
observer,0.035,53675,0.0,0.0
observer,0.035,53685,0.0,0.0
observer,0.035,53695,0.0,0.0
observer,0.035,53705,0.0,0.0
observer,0.035,53715,0.0,0.0
observer,0.035,53725,0.0,0.0
observer,0.035,53735,0.0,0.0
observer,0.035,53745,0.0,0.0
observer,0.035,53755,0.0,0.0
observer,0.035,53765,0.0,0.0
observer,0.035,53775,0.0,0.0
observer,0.035,53785,0.0,0.0
observer,0.035,53795,0.0,0.0
observer,0.035,53805,0.0,0.0
observer,0.035,53815,0.0,0.0
observer,0.035,53825,0.0,0.0
observer,0.035,53835,0.0,0.0
observer,0.035,53845,0.0,0.0
observer,0.035,53855,0.0,0.0
observer,0.035,53865,0.0,0.0
observer,0.035,53875,0.0,0.0
observer,0.035,53885,0.0,0.0
observer,0.035,53895,0.0,0.0
observer,0.035,53905,0.0,0.0
observer,0.035,53915,0.0,0.0
observer,0.035,53925,0.0,0.0
observer,0.035,53935,0.0,0.0
observer,0.035,53945,0.0,0.0
observer,0.035,53955,0.0,0.0
observer,0.035,53965,0.0,0.0
observer,0.035,53975,0.0,0.0
observer,0.035,53985,0.0,0.0
observer,0.035,53995,0.0,0.0
observer,0.035,54005,0.0,0.0
observer,0.035,54015,0.0,0.0
observer,0.035,54025,0.0,0.0
observer,0.035,54035,0.0,0.0
observer,0.035,54045,0.0,0.0
observer,0.035,54055,0.0,0.0
observer,0.035,54065,0.0,0.0
observer,0.035,54075,0.0,0.0
observer,0.035,54085,0.0,0.0
observer,0.035,54095,0.0,0.0
observer,0.035,54105,0.0,0.0
observer,0.035,54115,0.0,0.0
observer,0.035,54125,0.0,0.0
observer,0.035,54135,0.0,0.0
observer,0.035,54145,0.0,0.0
observer,0.035,54155,0.0,0.0
observer,0.035,54165,0.0,0.0
observer,0.035,54175,0.0,0.0
observer,0.035,54185,0.0,0.0
observer,0.035,54195,0.0,0.0
observer,0.035,54205,0.0,0.0
observer,0.035,54215,0.0,0.0
observer,0.035,54225,0.0,0.0
observer,0.035,54235,0.0,0.0
observer,0.035,54245,0.0,0.0
observer,0.035,54255,0.0,0.0
observer,0.035,54265,0.0,0.0
observer,0.035,54275,0.0,0.0
observer,0.035,54285,0.0,0.0
observer,0.035,54295,0.0,0.0
observer,0.035,54305,0.0,0.0
observer,0.035,54315,0.0,0.0
observer,0.035,54325,0.0,0.0
observer,0.035,54335,0.0,0.0
observer,0.035,54345,0.0,0.0
observer,0.035,54355,0.0,0.0
observer,0.035,54365,0.0,0.0
observer,0.035,54375,72.31,0.2
observer,0.035,54385,320.26,0.2
observer,0.035,54395,543.95,0.2
observer,0.035,54405,764.32,0.2
observer,0.035,54415,952.44,0.2
observer,0.035,54425,1094.98,0.2
observer,0.035,54435,1209.87,0.2
observer,0.035,54445,1318.29,0.2
observer,0.035,54455,1398.81,0.2
observer,0.035,54465,1468.45,0.2
observer,0.035,54475,1532.43,0.2
observer,0.035,54485,1595.0,0.2
observer,0.035,54495,1630.76,0.2
observer,0.035,54505,1668.65,0.2
observer,0.035,54515,1703.93,0.2
observer,0.035,54525,1738.1,0.2
observer,0.035,54535,1753.61,0.2
observer,0.035,54545,1772.76,0.2
observer,0.035,54555,1802.34,0.2
observer,0.035,54565,1806.62,0.2
observer,0.035,54575,1822.32,0.2
observer,0.035,54585,1841.45,0.2
observer,0.035,54595,1845.72,0.2
observer,0.035,54605,1852.05,0.2
observer,0.035,54615,1864.83,0.2
observer,0.035,54625,1876.19,0.2
observer,0.035,54635,1876.39,0.2
observer,0.035,54645,1878.93,0.2
observer,0.035,54655,1891.55,0.2
observer,0.035,54665,1888.62,0.2
observer,0.035,54675,1896.53,0.2
observer,0.035,54685,1907.63,0.2
observer,0.035,54695,1896.39,0.2
observer,0.035,54705,1901.86,0.2
observer,0.035,54715,1912.97,0.2
observer,0.035,54725,1902.59,0.2
observer,0.035,54735,1904.9,0.2
observer,0.035,54745,1919.69,0.2
observer,0.035,54755,1908.73,0.2
observer,0.035,54765,1906.29,0.2
observer,0.035,54775,1919.76,0.2
observer,0.035,54785,1907.11,0.2
observer,0.035,54795,1908.0,0.2
observer,0.035,54805,1912.35,0.2
observer,0.035,54815,1905.24,0.2
observer,0.035,54825,1905.29,0.2
observer,0.035,54835,1910.26,0.2
observer,0.035,54845,1907.11,0.2
observer,0.035,54855,1907.16,0.2
observer,0.035,54865,1911.02,0.2
observer,0.035,54875,1913.0,0.2
observer,0.035,54885,1907.54,0.2
observer,0.035,54895,1913.94,0.2
observer,0.035,54905,1918.8,0.2
observer,0.035,54915,1910.37,0.2
observer,0.035,54925,1911.38,0.2
observer,0.035,54935,1924.27,0.2
observer,0.035,54945,1910.1,0.2
observer,0.035,54955,1913.99,0.2
observer,0.035,54965,1923.91,0.2
observer,0.035,54975,1913.49,0.2
observer,0.035,54985,1911.75,0.2
observer,0.035,54995,1930.15,0.2
observer,0.035,55005,1916.7,0.2
observer,0.035,55015,1913.42,0.2
observer,0.035,55025,1928.75,0.2
observer,0.035,55035,1917.04,0.2
observer,0.035,55045,1916.89,0.2
observer,0.035,55055,1925.57,0.2
observer,0.035,55065,1920.73,0.2
observer,0.035,55075,1921.4,0.2
observer,0.035,55085,1925.14,0.2
observer,0.035,55095,1923.07,0.2
observer,0.035,55105,1919.64,0.2
observer,0.035,55115,1919.38,0.2
observer,0.035,55125,1923.57,0.2
observer,0.035,55135,1921.27,0.2
observer,0.035,55145,1920.7,0.2
observer,0.035,55155,1928.32,0.2
observer,0.035,55165,1918.82,0.2
observer,0.035,55175,1923.16,0.2
observer,0.035,55185,1930.07,0.2
observer,0.035,55195,1829.68,0.035
observer,0.035,55205,1617.0,0.035
observer,0.035,55215,1431.58,0.035
observer,0.035,55225,1240.96,0.035
observer,0.035,55235,1088.46,0.035
observer,0.035,55245,966.22,0.035
observer,0.035,55255,857.99,0.035
observer,0.035,55265,762.98,0.035
observer,0.035,55275,693.6,0.035
observer,0.035,55285,619.74,0.035
observer,0.035,55295,538.03,0.035
observer,0.035,55305,496.15,0.035
observer,0.035,55315,437.04,0.035
observer,0.035,55325,422.51,0.035
observer,0.035,55335,373.9,0.035
observer,0.035,55345,362.45,0.035
observer,0.035,55355,329.42,0.035
observer,0.035,55365,277.76,0.035
observer,0.035,55375,280.93,0.035
observer,0.035,55385,277.72,0.035
observer,0.035,55395,223.34,0.035
observer,0.035,55405,202.98,0.035
observer,0.035,55415,232.63,0.035
observer,0.035,55425,246.9,0.035
observer,0.035,55435,213.1,0.035
observer,0.035,55445,185.38,0.035
observer,0.035,55455,206.85,0.035
observer,0.035,55465,222.34,0.035
observer,0.035,55475,186.13,0.035
observer,0.035,55485,123.17,0.035
observer,0.035,55495,75.84,0.035
observer,0.035,55505,55.28,0.035
observer,0.035,55515,59.67,0.035
observer,0.035,55525,93.93,0.035
observer,0.035,55535,153.27,0.035
observer,0.035,55545,193.01,0.035
observer,0.035,55555,183.63,0.035
observer,0.035,55565,137.26,0.035
observer,0.035,55575,95.85,0.035
observer,0.035,55585,93.89,0.035
observer,0.035,55595,132.05,0.035
observer,0.035,55605,184.68,0.035
observer,0.035,55615,198.22,0.035
observer,0.035,55625,168.28,0.035
observer,0.035,55635,132.3,0.035
observer,0.035,55645,131.18,0.035
observer,0.035,55655,170.12,0.035
observer,0.035,55665,199.32,0.035
observer,0.035,55675,180.37,0.035
observer,0.035,55685,130.53,0.035
observer,0.035,55695,73.6,0.035
observer,0.035,55705,31.71,0.035
observer,0.035,55715,13.03,0.035
observer,0.035,55725,6.78,0.035
observer,0.035,55735,4.23,0.035
observer,0.035,55745,5.28,0.035
observer,0.035,55755,3.0,0.035
observer,0.035,55765,2.65,0.035
observer,0.035,55775,-3.02,0.035
observer,0.035,55785,-6.73,0.035
observer,0.035,55795,-9.31,0.035
observer,0.035,55805,-7.74,0.035
observer,0.035,55815,-6.82,0.035
observer,0.035,55825,-6.54,0.035
observer,0.035,55835,-3.92,0.035
observer,0.035,55845,0.13,0.035
