label,duty,t,rpm,out
boxcar,0.05,14045,0.0,0.0
boxcar,0.05,14055,0.0,0.0
boxcar,0.05,14065,0.0,0.0
boxcar,0.05,14075,0.0,0.0
boxcar,0.05,14085,0.0,0.0
boxcar,0.05,14095,0.0,0.0
boxcar,0.05,14105,0.0,0.0
boxcar,0.05,14115,0.0,0.0
boxcar,0.05,14125,0.0,0.0
boxcar,0.05,14135,0.0,0.0
boxcar,0.05,14145,0.0,0.0
boxcar,0.05,14155,0.0,0.0
boxcar,0.05,14165,0.0,0.0
boxcar,0.05,14175,0.0,0.0
boxcar,0.05,14185,0.0,0.0
boxcar,0.05,14195,0.0,0.0
boxcar,0.05,14205,0.0,0.0
boxcar,0.05,14215,0.0,0.0
boxcar,0.05,14225,0.0,0.0
boxcar,0.05,14235,0.0,0.0
boxcar,0.05,14245,0.0,0.0
boxcar,0.05,14255,0.0,0.0
boxcar,0.05,14265,0.0,0.0
boxcar,0.05,14275,0.0,0.0
boxcar,0.05,14285,0.0,0.0
boxcar,0.05,14295,0.0,0.0
boxcar,0.05,14305,0.0,0.0
boxcar,0.05,14315,0.0,0.0
boxcar,0.05,14325,0.0,0.0
boxcar,0.05,14335,0.0,0.0
boxcar,0.05,14345,0.0,0.0
boxcar,0.05,14355,0.0,0.0
boxcar,0.05,14365,0.0,0.0
boxcar,0.05,14375,0.0,0.0
boxcar,0.05,14385,0.0,0.0
boxcar,0.05,14395,0.0,0.0
boxcar,0.05,14405,0.0,0.0
boxcar,0.05,14415,0.0,0.0
boxcar,0.05,14425,0.0,0.0
boxcar,0.05,14435,0.0,0.0
boxcar,0.05,14445,0.0,0.0
boxcar,0.05,14455,0.0,0.0
boxcar,0.05,14465,0.0,0.0
boxcar,0.05,14475,0.0,0.0
boxcar,0.05,14485,0.0,0.0
boxcar,0.05,14495,0.0,0.0
boxcar,0.05,14505,0.0,0.0
boxcar,0.05,14515,0.0,0.0
boxcar,0.05,14525,0.0,0.0
boxcar,0.05,14535,0.0,0.0
boxcar,0.05,14545,0.0,0.0
boxcar,0.05,14555,0.0,0.0
boxcar,0.05,14565,0.0,0.0
boxcar,0.05,14575,0.0,0.0
boxcar,0.05,14585,0.0,0.0
boxcar,0.05,14595,0.0,0.0
boxcar,0.05,14605,0.0,0.0
boxcar,0.05,14615,0.0,0.0
boxcar,0.05,14625,0.0,0.0
boxcar,0.05,14635,0.0,0.0
boxcar,0.05,14645,0.0,0.0
boxcar,0.05,14655,0.0,0.0
boxcar,0.05,14665,0.0,0.0
boxcar,0.05,14675,0.0,0.0
boxcar,0.05,14685,0.0,0.0
boxcar,0.05,14695,0.0,0.0
boxcar,0.05,14705,0.0,0.0
boxcar,0.05,14715,0.0,0.0
boxcar,0.05,14725,0.0,0.0
boxcar,0.05,14735,0.0,0.0
boxcar,0.05,14745,0.0,0.0
boxcar,0.05,14755,0.0,0.0
boxcar,0.05,14765,0.0,0.0
boxcar,0.05,14775,0.0,0.0
boxcar,0.05,14785,0.0,0.0
boxcar,0.05,14795,0.0,0.0
boxcar,0.05,14805,0.0,0.0
boxcar,0.05,14815,0.0,0.0
boxcar,0.05,14825,0.0,0.0
boxcar,0.05,14835,0.0,0.0
boxcar,0.05,14845,0.0,0.0
boxcar,0.05,14855,0.0,0.0
boxcar,0.05,14865,0.0,0.0
boxcar,0.05,14875,0.0,0.0
boxcar,0.05,14885,0.0,0.0
boxcar,0.05,14895,0.0,0.0
boxcar,0.05,14905,0.0,0.0
boxcar,0.05,14915,0.0,0.0
boxcar,0.05,14925,0.0,0.0
boxcar,0.05,14935,0.0,0.0
boxcar,0.05,14945,0.0,0.0
boxcar,0.05,14955,0.0,0.0
boxcar,0.05,14965,0.0,0.0
boxcar,0.05,14975,0.0,0.0
boxcar,0.05,14985,0.0,0.0
boxcar,0.05,14995,0.0,0.0
boxcar,0.05,15005,0.0,0.0
boxcar,0.05,15015,0.0,0.0
boxcar,0.05,15025,0.0,0.0
boxcar,0.05,15035,0.0,0.0
boxcar,0.05,15045,0.0,0.0
boxcar,0.05,15055,0.0,0.05
boxcar,0.05,15065,10.25,0.05
boxcar,0.05,15075,40.09,0.05
boxcar,0.05,15085,60.84,0.05
boxcar,0.05,15095,59.42,0.05
boxcar,0.05,15105,38.71,0.05
boxcar,0.05,15115,15.22,0.05
boxcar,0.05,15125,4.66,0.05
boxcar,0.05,15135,-1.51,0.05
boxcar,0.05,15145,-1.39,0.05
boxcar,0.05,15155,-0.42,0.05
boxcar,0.05,15165,-0.13,0.05
boxcar,0.05,15175,-0.04,0.05
boxcar,0.05,15185,-0.01,0.05
boxcar,0.05,15195,-0.0,0.05
boxcar,0.05,15205,-0.0,0.05
boxcar,0.05,15215,-0.0,0.05
boxcar,0.05,15225,-0.0,0.05
boxcar,0.05,15235,-0.0,0.05
boxcar,0.05,15245,-0.0,0.05
boxcar,0.05,15255,-0.0,0.05
boxcar,0.05,15265,-0.0,0.05
boxcar,0.05,15275,-0.0,0.05
boxcar,0.05,15285,-0.0,0.05
boxcar,0.05,15295,-0.0,0.05
boxcar,0.05,15305,-0.0,0.05
boxcar,0.05,15315,-0.0,0.05
boxcar,0.05,15325,-0.0,0.05
boxcar,0.05,15335,-0.0,0.05
boxcar,0.05,15345,-0.0,0.05
boxcar,0.05,15355,-0.0,0.05
boxcar,0.05,15365,-0.0,0.05
boxcar,0.05,15375,-0.0,0.05
boxcar,0.05,15385,-0.0,0.05
boxcar,0.05,15395,-0.0,0.05
boxcar,0.05,15405,-0.0,0.05
boxcar,0.05,15415,-0.0,0.05
boxcar,0.05,15425,-0.0,0.05
boxcar,0.05,15435,-0.0,0.05
boxcar,0.05,15445,-0.0,0.05
boxcar,0.05,15455,-0.0,0.05
boxcar,0.05,15465,-0.0,0.05
boxcar,0.05,15475,-0.0,0.05
boxcar,0.05,15485,-0.0,0.05
boxcar,0.05,15495,-0.0,0.05
boxcar,0.05,15505,-0.0,0.05
boxcar,0.05,15515,-0.0,0.05
boxcar,0.05,15525,-0.0,0.05
boxcar,0.05,15535,-0.0,0.05
boxcar,0.05,15545,-0.0,0.05
boxcar,0.05,15555,-0.0,0.05
boxcar,0.05,15565,-0.0,0.05
boxcar,0.05,15575,-0.0,0.05
boxcar,0.05,15585,-0.0,0.05
boxcar,0.05,15595,-0.0,0.05
boxcar,0.05,15605,-0.0,0.05
boxcar,0.05,15615,-0.0,0.05
boxcar,0.05,15625,-0.0,0.05
boxcar,0.05,15635,-0.0,0.05
boxcar,0.05,15645,-0.0,0.05
boxcar,0.05,15655,-0.0,0.05
boxcar,0.05,15665,-0.0,0.05
boxcar,0.05,15675,-0.0,0.05
boxcar,0.05,15685,-0.0,0.05
boxcar,0.05,15695,-0.0,0.05
boxcar,0.05,15705,-0.0,0.05
boxcar,0.05,15715,-0.0,0.05
boxcar,0.05,15725,-0.0,0.05
boxcar,0.05,15735,-0.0,0.05
boxcar,0.05,15745,-0.0,0.05
boxcar,0.05,15755,-0.0,0.05
boxcar,0.05,15765,-0.0,0.05
boxcar,0.05,15775,-0.0,0.05
boxcar,0.05,15785,-0.0,0.05
boxcar,0.05,15795,-0.0,0.05
boxcar,0.05,15805,-0.0,0.05
boxcar,0.05,15815,-0.0,0.05
boxcar,0.05,15825,-0.0,0.05
boxcar,0.05,15835,-0.0,0.05
boxcar,0.05,15845,-0.0,0.05
boxcar,0.05,15855,-0.0,0.05
boxcar,0.05,15865,-0.0,0.05
boxcar,0.05,15875,-0.0,0.05
boxcar,0.05,15885,-0.0,0.05
boxcar,0.05,15895,-0.0,0.05
boxcar,0.05,15905,-0.0,0.05
boxcar,0.05,15915,-0.0,0.05
boxcar,0.05,15925,-0.0,0.05
boxcar,0.05,15935,-0.0,0.05
boxcar,0.05,15945,-0.0,0.05
boxcar,0.05,15955,-0.0,0.05
boxcar,0.05,15965,-0.0,0.05
boxcar,0.05,15975,-0.0,0.05
boxcar,0.05,15985,-0.0,0.05
boxcar,0.05,15995,-0.0,0.05
boxcar,0.05,16005,-0.0,0.05
boxcar,0.05,16015,-0.0,0.05
boxcar,0.05,16025,-0.0,0.05
boxcar,0.05,16035,-0.0,0.05
boxcar,0.05,16045,-0.0,0.05
boxcar,0.05,16055,-0.0,0.05
boxcar,0.05,16065,-0.0,0.05
boxcar,0.05,16075,-0.0,0.05
boxcar,0.05,16085,-0.0,0.05
boxcar,0.05,16095,-0.0,0.05
boxcar,0.05,16105,-0.0,0.05
boxcar,0.05,16115,-0.0,0.05
