label,sp,t,rpm,rpm_sp,out
baseline,80.0,4733495,-0.0,80.0,0.0
baseline,80.0,4733505,-0.0,80.0,0.0
baseline,80.0,4733515,-0.0,80.0,0.0
baseline,80.0,4733525,-0.0,80.0,0.0
baseline,80.0,4733535,-0.0,80.0,0.0
baseline,80.0,4733545,-0.0,80.0,0.0
baseline,80.0,4733555,-0.0,80.0,0.0
baseline,80.0,4733565,-0.0,80.0,0.0
baseline,80.0,4733575,-0.0,80.0,0.0
baseline,80.0,4733585,-0.0,80.0,0.0
baseline,80.0,4733595,-0.0,80.0,0.0
baseline,80.0,4733605,-0.0,80.0,0.0
baseline,80.0,4733615,-0.0,80.0,0.0
baseline,80.0,4733625,-0.0,80.0,0.0
baseline,80.0,4733635,-0.0,80.0,0.0
baseline,80.0,4733645,-0.0,80.0,0.0
baseline,80.0,4733655,-0.0,80.0,0.0
baseline,80.0,4733665,-0.0,80.0,0.0
baseline,80.0,4733675,-0.0,80.0,0.0
baseline,80.0,4733685,-0.0,80.0,0.0
baseline,80.0,4733695,-0.0,80.0,0.0
baseline,80.0,4733705,-0.0,80.0,0.0
baseline,80.0,4733715,-0.0,80.0,0.0
baseline,80.0,4733725,-0.0,80.0,0.0
baseline,80.0,4733735,-0.0,80.0,0.0
baseline,80.0,4733745,-0.0,80.0,0.0
baseline,80.0,4733755,-0.0,80.0,0.0
baseline,80.0,4733765,-0.0,80.0,0.0
baseline,80.0,4733775,-0.0,80.0,0.0
baseline,80.0,4733785,-0.0,80.0,0.0
baseline,80.0,4733795,-0.0,80.0,0.0
baseline,80.0,4733805,-0.0,80.0,0.0
baseline,80.0,4733815,-0.0,80.0,0.0
baseline,80.0,4733825,-0.0,80.0,0.0
baseline,80.0,4733835,-0.0,80.0,0.0
baseline,80.0,4733845,-0.0,80.0,0.0
baseline,80.0,4733855,-0.0,80.0,0.0
baseline,80.0,4733865,-0.0,80.0,0.0
baseline,80.0,4733875,-0.0,80.0,0.0
baseline,80.0,4733885,-0.0,80.0,0.0
baseline,80.0,4733895,-0.0,80.0,0.0
baseline,80.0,4733905,-0.0,80.0,0.0
baseline,80.0,4733915,-0.0,80.0,0.0
baseline,80.0,4733925,-0.0,80.0,0.0
baseline,80.0,4733935,-0.0,80.0,0.0
baseline,80.0,4733945,-0.0,80.0,0.0
baseline,80.0,4733955,-0.0,80.0,0.0
baseline,80.0,4733965,-0.0,80.0,0.0
baseline,80.0,4733975,-0.0,80.0,0.0
baseline,80.0,4733985,-0.0,80.0,0.0
baseline,80.0,4733995,-0.0,80.0,0.0
baseline,80.0,4734005,-0.0,80.0,0.0
baseline,80.0,4734015,-0.0,80.0,0.0
baseline,80.0,4734025,-0.0,80.0,0.0
baseline,80.0,4734035,-0.0,80.0,0.0
baseline,80.0,4734045,-0.0,80.0,0.0
baseline,80.0,4734055,-0.0,80.0,0.0
baseline,80.0,4734065,-0.0,80.0,0.0
baseline,80.0,4734075,-0.0,80.0,0.0
baseline,80.0,4734085,-0.0,80.0,0.0
baseline,80.0,4734095,-0.0,80.0,0.0
baseline,80.0,4734105,-0.0,80.0,0.0
baseline,80.0,4734115,-0.0,80.0,0.0
baseline,80.0,4734125,-0.0,80.0,0.0
