label,sp,t,rpm,rpm_sp,out
boxcar,80.0,33555,0.0,0.0,0.0
boxcar,80.0,33565,0.0,0.0,0.0
boxcar,80.0,33575,0.0,0.0,0.0
boxcar,80.0,33585,0.0,0.0,0.0
boxcar,80.0,33595,0.0,0.0,0.0
boxcar,80.0,33605,0.0,0.0,0.0
boxcar,80.0,33615,0.0,0.0,0.0
boxcar,80.0,33625,0.0,0.0,0.0
boxcar,80.0,33635,0.0,0.0,0.0
boxcar,80.0,33645,0.0,0.0,0.0
boxcar,80.0,33655,0.0,0.0,0.0
boxcar,80.0,33665,0.0,0.0,0.0
boxcar,80.0,33675,0.0,0.0,0.0
boxcar,80.0,33685,0.0,0.0,0.0
boxcar,80.0,33695,0.0,0.0,0.0
boxcar,80.0,33705,0.0,0.0,0.0
boxcar,80.0,33715,0.0,0.0,0.0
boxcar,80.0,33725,0.0,0.0,0.0
boxcar,80.0,33735,0.0,0.0,0.0
boxcar,80.0,33745,0.0,0.0,0.0
boxcar,80.0,33755,0.0,0.0,0.0
boxcar,80.0,33765,0.0,0.0,0.0
boxcar,80.0,33775,0.0,0.0,0.0
boxcar,80.0,33785,0.0,0.0,0.0
boxcar,80.0,33795,0.0,0.0,0.0
boxcar,80.0,33805,0.0,0.0,0.0
boxcar,80.0,33815,0.0,0.0,0.0
boxcar,80.0,33825,0.0,0.0,0.0
boxcar,80.0,33835,0.0,0.0,0.0
boxcar,80.0,33845,0.0,0.0,0.0
boxcar,80.0,33855,0.0,0.0,0.0
boxcar,80.0,33865,0.0,0.0,0.0
boxcar,80.0,33875,0.0,0.0,0.0
boxcar,80.0,33885,0.0,0.0,0.0
boxcar,80.0,33895,0.0,0.0,0.0
boxcar,80.0,33905,0.0,0.0,0.0
boxcar,80.0,33915,0.0,0.0,0.0
boxcar,80.0,33925,0.0,0.0,0.0
boxcar,80.0,33935,0.0,0.0,0.0
boxcar,80.0,33945,0.0,0.0,0.0
boxcar,80.0,33955,0.0,0.0,0.0
boxcar,80.0,33965,0.0,0.0,0.0
boxcar,80.0,33975,0.0,0.0,0.0
boxcar,80.0,33985,0.0,0.0,0.0
boxcar,80.0,33995,0.0,0.0,0.0
boxcar,80.0,34005,0.0,0.0,0.0
boxcar,80.0,34015,0.0,0.0,0.0
boxcar,80.0,34025,0.0,0.0,0.0
boxcar,80.0,34035,0.0,0.0,0.0
boxcar,80.0,34045,0.0,0.0,0.0
boxcar,80.0,34055,0.0,0.0,0.0
boxcar,80.0,34065,0.0,0.0,0.0
boxcar,80.0,34075,0.0,0.0,0.0
boxcar,80.0,34085,0.0,0.0,0.0
boxcar,80.0,34095,0.0,0.0,0.0
boxcar,80.0,34105,0.0,0.0,0.0
boxcar,80.0,34115,0.0,0.0,0.0
boxcar,80.0,34125,0.0,0.0,0.0
boxcar,80.0,34135,0.0,0.0,0.0
boxcar,80.0,34145,0.0,0.0,0.0
boxcar,80.0,34155,0.0,0.0,0.0
boxcar,80.0,34165,0.0,0.0,0.0
boxcar,80.0,34175,0.0,0.0,0.0
boxcar,80.0,34185,0.0,0.0,0.0
boxcar,80.0,34195,0.0,0.0,0.0
boxcar,80.0,34205,0.0,0.0,0.0
boxcar,80.0,34215,0.0,0.0,0.0
boxcar,80.0,34225,0.0,0.0,0.0
boxcar,80.0,34235,0.0,0.0,0.0
boxcar,80.0,34245,0.0,0.0,0.0
boxcar,80.0,34255,0.0,0.0,0.0
boxcar,80.0,34265,0.0,0.0,0.0
boxcar,80.0,34275,0.0,0.0,0.0
boxcar,80.0,34285,0.0,0.0,0.0
boxcar,80.0,34295,0.0,0.0,0.0
boxcar,80.0,34305,0.0,0.0,0.0
boxcar,80.0,34315,0.0,0.0,0.0
boxcar,80.0,34325,0.0,0.0,0.0
boxcar,80.0,34335,0.0,0.0,0.0
boxcar,80.0,34345,0.0,0.0,0.0
boxcar,80.0,34355,0.0,0.0,0.0
boxcar,80.0,34365,0.0,0.0,0.0
boxcar,80.0,34375,0.0,0.0,0.0
boxcar,80.0,34385,0.0,0.0,0.0
boxcar,80.0,34395,0.0,0.0,0.0
boxcar,80.0,34405,0.0,0.0,0.0
boxcar,80.0,34415,0.0,0.0,0.0
boxcar,80.0,34425,0.0,0.0,0.0
boxcar,80.0,34435,0.0,0.0,0.0
boxcar,80.0,34445,0.0,0.0,0.0
boxcar,80.0,34455,0.0,0.0,0.0
boxcar,80.0,34465,0.0,0.0,0.0
boxcar,80.0,34475,0.0,0.0,0.0
boxcar,80.0,34485,0.0,0.0,0.0
boxcar,80.0,34495,0.0,0.0,0.0
boxcar,80.0,34505,0.0,0.0,0.0
boxcar,80.0,34515,0.0,0.0,0.0
boxcar,80.0,34525,0.0,0.0,0.0
boxcar,80.0,34535,0.0,0.0,0.0
boxcar,80.0,34545,0.0,0.0,0.0
boxcar,80.0,34555,0.0,0.0,0.0
boxcar,80.0,34565,0.0,80.0,0.0012
boxcar,80.0,34575,0.0,80.0,0.0044
boxcar,80.0,34585,0.0,80.0,0.0078
boxcar,80.0,34595,0.0,80.0,0.0114
boxcar,80.0,34605,0.0,80.0,0.0152
boxcar,80.0,34615,0.0,80.0,0.0192
boxcar,80.0,34625,0.0,80.0,0.0234
boxcar,80.0,34635,2.3,80.0,0.0242
boxcar,80.0,34645,6.25,80.0,0.0224
boxcar,80.0,34655,8.79,80.0,0.0226
boxcar,80.0,34665,7.89,80.0,0.0281
boxcar,80.0,34675,7.99,80.0,0.0324
boxcar,80.0,34685,12.34,80.0,0.0302
boxcar,80.0,34695,13.4,80.0,0.0329
boxcar,80.0,34705,8.81,80.0,0.0445
boxcar,80.0,34715,12.36,80.0,0.0442
boxcar,80.0,34725,18.65,80.0,0.0394
boxcar,80.0,34735,18.44,80.0,0.0441
boxcar,80.0,34745,13.19,80.0,0.0571
boxcar,80.0,34755,18.09,80.0,0.055
boxcar,80.0,34765,21.15,80.0,0.0554
boxcar,80.0,34775,20.51,80.0,0.0614
boxcar,80.0,34785,19.7,80.0,0.068
boxcar,80.0,34795,21.99,80.0,0.0701
boxcar,80.0,34805,25.42,80.0,0.0704
boxcar,80.0,34815,29.29,80.0,0.0698
boxcar,80.0,34825,24.86,80.0,0.0819
boxcar,80.0,34835,20.06,80.0,0.0953
boxcar,80.0,34845,26.33,80.0,0.0923
boxcar,80.0,34855,43.98,80.0,0.0711
boxcar,80.0,34865,53.98,80.0,0.06
boxcar,80.0,34875,58.02,80.0,0.0575
boxcar,80.0,34885,81.07,80.0,0.0255
boxcar,80.0,34895,124.47,80.0,-0.0405
boxcar,80.0,34905,143.22,80.0,-0.0728
boxcar,80.0,34915,91.39,80.0,0.003
boxcar,80.0,34925,38.03,80.0,0.0875
boxcar,80.0,34935,71.64,80.0,0.0425
boxcar,80.0,34945,116.53,80.0,-0.0244
boxcar,80.0,34955,72.21,80.0,0.0431
boxcar,80.0,34965,10.58,80.0,0.1418
boxcar,80.0,34975,25.73,80.0,0.1261
boxcar,80.0,34985,110.72,80.0,-0.0008
boxcar,80.0,34995,125.16,80.0,-0.027
boxcar,80.0,35005,94.17,80.0,0.0167
boxcar,80.0,35015,96.44,80.0,0.0122
boxcar,80.0,35025,132.57,80.0,-0.0457
boxcar,80.0,35035,117.84,80.0,-0.0288
boxcar,80.0,35045,50.86,80.0,0.0717
boxcar,80.0,35055,50.64,80.0,0.0758
boxcar,80.0,35065,116.97,80.0,-0.0245
boxcar,80.0,35075,96.02,80.0,0.0034
boxcar,80.0,35085,20.06,80.0,0.1201
boxcar,80.0,35095,23.14,80.0,0.1224
boxcar,80.0,35105,109.49,80.0,-0.0063
boxcar,80.0,35115,135.35,80.0,-0.0501
boxcar,80.0,35125,101.32,80.0,-0.003
boxcar,80.0,35135,87.85,80.0,0.0163
boxcar,80.0,35145,112.08,80.0,-0.0221
boxcar,80.0,35155,107.3,80.0,-0.0183
boxcar,80.0,35165,61.43,80.0,0.0501
boxcar,80.0,35175,32.48,80.0,0.0974
boxcar,80.0,35185,66.5,80.0,0.0497
boxcar,80.0,35195,96.45,80.0,0.0039
boxcar,80.0,35205,45.34,80.0,0.0813
boxcar,80.0,35215,10.11,80.0,0.1402
boxcar,80.0,35225,69.46,80.0,0.0556
boxcar,80.0,35235,117.78,80.0,-0.0192
boxcar,80.0,35245,99.55,80.0,0.0051
boxcar,80.0,35255,91.47,80.0,0.016
boxcar,80.0,35265,117.72,80.0,-0.0258
boxcar,80.0,35275,131.68,80.0,-0.0516
boxcar,80.0,35285,90.21,80.0,0.0073
boxcar,80.0,35295,41.47,80.0,0.0823
boxcar,80.0,35305,50.41,80.0,0.0729
boxcar,80.0,35315,90.82,80.0,0.0128
boxcar,80.0,35325,68.78,80.0,0.0453
boxcar,80.0,35335,16.12,80.0,0.1286
boxcar,80.0,35345,37.06,80.0,0.1033
boxcar,80.0,35355,103.14,80.0,0.0046
boxcar,80.0,35365,105.63,80.0,-0.0021
boxcar,80.0,35375,87.52,80.0,0.0236
boxcar,80.0,35385,105.04,80.0,-0.004
boxcar,80.0,35395,140.5,80.0,-0.0618
boxcar,80.0,35405,106.28,80.0,-0.0154
boxcar,80.0,35415,39.17,80.0,0.0867
boxcar,80.0,35425,69.27,80.0,0.0449
boxcar,80.0,35435,127.64,80.0,-0.0454
boxcar,80.0,35445,70.08,80.0,0.0385
boxcar,80.0,35455,6.22,80.0,0.1395
boxcar,80.0,35465,64.05,80.0,0.0579
boxcar,80.0,35475,137.43,80.0,-0.0553
boxcar,80.0,35485,111.52,80.0,-0.0214
boxcar,80.0,35495,67.66,80.0,0.044
boxcar,80.0,35505,86.42,80.0,0.0167
boxcar,80.0,35515,128.66,80.0,-0.0498
boxcar,80.0,35525,105.63,80.0,-0.0197
boxcar,80.0,35535,39.35,80.0,0.081
boxcar,80.0,35545,35.74,80.0,0.0915
boxcar,80.0,35555,95.82,80.0,0.0025
boxcar,80.0,35565,87.94,80.0,0.0123
boxcar,80.0,35575,21.5,80.0,0.1148
boxcar,80.0,35585,11.35,80.0,0.1373
boxcar,80.0,35595,82.45,80.0,0.0338
boxcar,80.0,35605,102.84,80.0,0.001
boxcar,80.0,35615,60.23,80.0,0.0649
boxcar,80.0,35625,48.66,80.0,0.0855
boxcar,80.0,35635,116.81,80.0,-0.0169
boxcar,80.0,35645,177.76,80.0,-0.116
boxcar,80.0,35655,110.43,80.0,-0.0222
boxcar,80.0,35665,26.26,80.0,0.1065
boxcar,80.0,35675,67.58,80.0,0.0487
boxcar,80.0,35685,133.84,80.0,-0.0539
boxcar,80.0,35695,78.06,80.0,0.0266
boxcar,80.0,35705,-6.34,80.0,0.1585
boxcar,80.0,35715,26.65,80.0,0.1172
boxcar,80.0,35725,133.82,80.0,-0.0446
boxcar,80.0,35735,129.52,80.0,-0.0443
boxcar,80.0,35745,63.8,80.0,0.0531
boxcar,80.0,35755,76.17,80.0,0.0364
boxcar,80.0,35765,156.37,80.0,-0.088
boxcar,80.0,35775,127.49,80.0,-0.0522
boxcar,80.0,35785,23.7,80.0,0.1049
boxcar,80.0,35795,44.66,80.0,0.0793
boxcar,80.0,35805,147.82,80.0,-0.078
boxcar,80.0,35815,99.72,80.0,-0.0115
boxcar,80.0,35825,-9.52,80.0,0.1569
boxcar,80.0,35835,15.03,80.0,0.1291
boxcar,80.0,35845,137.53,80.0,-0.0551
boxcar,80.0,35855,147.98,80.0,-0.0783
boxcar,80.0,35865,63.47,80.0,0.0462
boxcar,80.0,35875,53.41,80.0,0.0645
boxcar,80.0,35885,142.06,80.0,-0.0705
boxcar,80.0,35895,142.99,80.0,-0.0795
boxcar,80.0,35905,37.21,80.0,0.0786
boxcar,80.0,35915,12.89,80.0,0.1218
boxcar,80.0,35925,98.39,80.0,-0.0041
boxcar,80.0,35935,113.66,80.0,-0.0309
boxcar,80.0,35945,24.39,80.0,0.1043
boxcar,80.0,35955,-8.47,80.0,0.162
boxcar,80.0,35965,88.6,80.0,0.0207
boxcar,80.0,35975,144.47,80.0,-0.0682
