label,sp,t,rpm,rpm_sp,out
boxcaronly,80.0,20615,0.0,0.0,0.0
boxcaronly,80.0,20625,0.0,0.0,0.0
boxcaronly,80.0,20635,0.0,0.0,0.0
boxcaronly,80.0,20645,0.0,0.0,0.0
boxcaronly,80.0,20655,0.0,0.0,0.0
boxcaronly,80.0,20665,0.0,0.0,0.0
boxcaronly,80.0,20675,0.0,0.0,0.0
boxcaronly,80.0,20685,0.0,0.0,0.0
boxcaronly,80.0,20695,0.0,0.0,0.0
boxcaronly,80.0,20705,0.0,0.0,0.0
boxcaronly,80.0,20715,0.0,0.0,0.0
boxcaronly,80.0,20725,0.0,0.0,0.0
boxcaronly,80.0,20735,0.0,0.0,0.0
boxcaronly,80.0,20745,0.0,0.0,0.0
boxcaronly,80.0,20755,0.0,0.0,0.0
boxcaronly,80.0,20765,0.0,0.0,0.0
boxcaronly,80.0,20775,0.0,0.0,0.0
boxcaronly,80.0,20785,0.0,0.0,0.0
boxcaronly,80.0,20795,0.0,0.0,0.0
boxcaronly,80.0,20805,0.0,0.0,0.0
boxcaronly,80.0,20815,0.0,0.0,0.0
boxcaronly,80.0,20825,0.0,0.0,0.0
boxcaronly,80.0,20835,0.0,0.0,0.0
boxcaronly,80.0,20845,0.0,0.0,0.0
boxcaronly,80.0,20855,0.0,0.0,0.0
boxcaronly,80.0,20865,0.0,0.0,0.0
boxcaronly,80.0,20875,0.0,0.0,0.0
boxcaronly,80.0,20885,0.0,0.0,0.0
boxcaronly,80.0,20895,0.0,0.0,0.0
boxcaronly,80.0,20905,0.0,0.0,0.0
boxcaronly,80.0,20915,0.0,0.0,0.0
boxcaronly,80.0,20925,0.0,0.0,0.0
boxcaronly,80.0,20935,0.0,0.0,0.0
boxcaronly,80.0,20945,0.0,0.0,0.0
boxcaronly,80.0,20955,0.0,0.0,0.0
boxcaronly,80.0,20965,0.0,0.0,0.0
boxcaronly,80.0,20975,0.0,0.0,0.0
boxcaronly,80.0,20985,0.0,0.0,0.0
boxcaronly,80.0,20995,0.0,0.0,0.0
