label,sp,t,rpm,rpm_sp,out
observer,80.0,12255,0.0,0.0,0.0
observer,80.0,12265,0.0,0.0,0.0
observer,80.0,12275,0.0,0.0,0.0
observer,80.0,12285,0.0,0.0,0.0
observer,80.0,12295,0.0,0.0,0.0
observer,80.0,12305,0.0,0.0,0.0
observer,80.0,12315,0.0,0.0,0.0
observer,80.0,12325,0.0,0.0,0.0
observer,80.0,12335,0.0,0.0,0.0
observer,80.0,12345,0.0,0.0,0.0
observer,80.0,12355,0.0,0.0,0.0
observer,80.0,12365,0.0,0.0,0.0
observer,80.0,12375,0.0,0.0,0.0
observer,80.0,12385,0.0,0.0,0.0
observer,80.0,12395,0.0,0.0,0.0
observer,80.0,12405,0.0,0.0,0.0
observer,80.0,12415,0.0,0.0,0.0
observer,80.0,12425,0.0,0.0,0.0
observer,80.0,12435,0.0,0.0,0.0
observer,80.0,12445,0.0,0.0,0.0
observer,80.0,12455,0.0,0.0,0.0
observer,80.0,12465,0.0,0.0,0.0
observer,80.0,12475,0.0,0.0,0.0
observer,80.0,12485,0.0,0.0,0.0
observer,80.0,12495,0.0,0.0,0.0
observer,80.0,12505,0.0,0.0,0.0
observer,80.0,12515,0.0,0.0,0.0
observer,80.0,12525,0.0,0.0,0.0
observer,80.0,12535,0.0,0.0,0.0
observer,80.0,12545,0.0,0.0,0.0
observer,80.0,12555,0.0,0.0,0.0
observer,80.0,12565,0.0,0.0,0.0
observer,80.0,12575,0.0,0.0,0.0
observer,80.0,12585,0.0,0.0,0.0
observer,80.0,12595,0.0,0.0,0.0
observer,80.0,12605,0.0,0.0,0.0
observer,80.0,12615,0.0,0.0,0.0
observer,80.0,12625,0.0,0.0,0.0
observer,80.0,12635,0.0,0.0,0.0
observer,80.0,12645,0.0,0.0,0.0
observer,80.0,12655,0.0,0.0,0.0
observer,80.0,12665,0.0,0.0,0.0
observer,80.0,12675,0.0,0.0,0.0
observer,80.0,12685,0.0,0.0,0.0
observer,80.0,12695,0.0,0.0,0.0
observer,80.0,12705,0.0,0.0,0.0
observer,80.0,12715,0.0,0.0,0.0
observer,80.0,12725,0.0,0.0,0.0
observer,80.0,12735,0.0,0.0,0.0
observer,80.0,12745,0.0,0.0,0.0
