label,duty,t,rpm,out
observer,0.05,136975,0.0,0.0
observer,0.05,136985,0.0,0.0
observer,0.05,136995,0.0,0.0
observer,0.05,137005,0.0,0.0
observer,0.05,137015,0.0,0.0
observer,0.05,137025,0.0,0.0
observer,0.05,137035,0.0,0.0
observer,0.05,137045,0.0,0.0
observer,0.05,137055,0.0,0.0
observer,0.05,137065,0.0,0.0
observer,0.05,137075,0.0,0.0
observer,0.05,137085,0.0,0.0
observer,0.05,137095,0.0,0.0
observer,0.05,137105,0.0,0.0
observer,0.05,137115,0.0,0.0
observer,0.05,137125,0.0,0.0
observer,0.05,137135,0.0,0.0
observer,0.05,137145,0.0,0.0
observer,0.05,137155,0.0,0.0
observer,0.05,137165,0.0,0.0
observer,0.05,137175,0.0,0.0
observer,0.05,137185,0.0,0.0
observer,0.05,137195,0.0,0.0
observer,0.05,137205,0.0,0.0
observer,0.05,137215,0.0,0.0
observer,0.05,137225,0.0,0.0
observer,0.05,137235,0.0,0.0
observer,0.05,137245,0.0,0.0
observer,0.05,137255,0.0,0.0
observer,0.05,137265,0.0,0.0
observer,0.05,137275,0.0,0.0
observer,0.05,137285,0.0,0.0
observer,0.05,137295,0.0,0.0
observer,0.05,137305,0.0,0.0
observer,0.05,137315,0.0,0.0
observer,0.05,137325,0.0,0.0
observer,0.05,137335,0.0,0.0
observer,0.05,137345,0.0,0.0
observer,0.05,137355,0.0,0.0
observer,0.05,137365,0.0,0.0
observer,0.05,137375,0.0,0.0
observer,0.05,137385,0.0,0.0
observer,0.05,137395,0.0,0.0
observer,0.05,137405,0.0,0.0
observer,0.05,137415,0.0,0.0
observer,0.05,137425,0.0,0.0
observer,0.05,137435,0.0,0.0
observer,0.05,137445,0.0,0.0
observer,0.05,137455,0.0,0.0
observer,0.05,137465,0.0,0.0
observer,0.05,137475,0.0,0.0
observer,0.05,137485,0.0,0.0
observer,0.05,137495,0.0,0.0
observer,0.05,137505,0.0,0.0
observer,0.05,137515,0.0,0.0
observer,0.05,137525,0.0,0.0
observer,0.05,137535,0.0,0.0
observer,0.05,137545,0.0,0.0
observer,0.05,137555,0.0,0.0
observer,0.05,137565,0.0,0.0
observer,0.05,137575,0.0,0.0
observer,0.05,137585,0.0,0.0
observer,0.05,137595,0.0,0.0
observer,0.05,137605,0.0,0.0
observer,0.05,137615,0.0,0.0
observer,0.05,137625,0.0,0.0
observer,0.05,137635,0.0,0.0
observer,0.05,137645,0.0,0.0
observer,0.05,137655,0.0,0.0
observer,0.05,137665,0.0,0.0
observer,0.05,137675,0.0,0.0
observer,0.05,137685,0.0,0.0
observer,0.05,137695,0.0,0.0
observer,0.05,137705,0.0,0.0
observer,0.05,137715,0.0,0.0
observer,0.05,137725,0.0,0.0
observer,0.05,137735,0.0,0.0
observer,0.05,137745,0.0,0.0
observer,0.05,137755,0.0,0.0
observer,0.05,137765,0.0,0.0
observer,0.05,137775,0.0,0.0
observer,0.05,137785,0.0,0.0
observer,0.05,137795,0.0,0.0
observer,0.05,137805,0.0,0.0
observer,0.05,137815,0.0,0.0
observer,0.05,137825,0.0,0.0
observer,0.05,137835,0.0,0.0
observer,0.05,137845,0.0,0.0
observer,0.05,137855,0.0,0.0
observer,0.05,137865,0.0,0.0
observer,0.05,137875,0.0,0.0
observer,0.05,137885,0.0,0.0
observer,0.05,137895,0.0,0.0
observer,0.05,137905,0.0,0.0
observer,0.05,137915,0.0,0.0
observer,0.05,137925,0.0,0.0
observer,0.05,137935,0.0,0.0
observer,0.05,137945,0.0,0.0
observer,0.05,137955,0.0,0.0
observer,0.05,137965,0.0,0.0
observer,0.05,137975,0.0,0.0
observer,0.05,137985,19.81,0.05
observer,0.05,137995,60.25,0.05
observer,0.05,138005,91.43,0.05
observer,0.05,138015,98.52,0.05
observer,0.05,138025,88.14,0.05
observer,0.05,138035,62.84,0.05
observer,0.05,138045,43.08,0.05
observer,0.05,138055,32.18,0.05
observer,0.05,138065,28.91,0.05
observer,0.05,138075,27.93,0.05
observer,0.05,138085,27.64,0.05
observer,0.05,138095,27.55,0.05
observer,0.05,138105,27.52,0.05
observer,0.05,138115,27.51,0.05
observer,0.05,138125,27.51,0.05
observer,0.05,138135,27.51,0.05
observer,0.05,138145,27.51,0.05
observer,0.05,138155,27.51,0.05
observer,0.05,138165,27.51,0.05
observer,0.05,138175,27.51,0.05
observer,0.05,138185,27.51,0.05
observer,0.05,138195,27.51,0.05
observer,0.05,138205,27.51,0.05
observer,0.05,138215,27.51,0.05
observer,0.05,138225,27.51,0.05
observer,0.05,138235,27.51,0.05
observer,0.05,138245,27.51,0.05
observer,0.05,138255,27.51,0.05
observer,0.05,138265,27.51,0.05
observer,0.05,138275,27.51,0.05
observer,0.05,138285,27.51,0.05
observer,0.05,138295,27.51,0.05
observer,0.05,138305,27.51,0.05
observer,0.05,138315,27.51,0.05
observer,0.05,138325,27.51,0.05
observer,0.05,138335,27.51,0.05
observer,0.05,138345,27.51,0.05
observer,0.05,138355,27.51,0.05
observer,0.05,138365,27.51,0.05
observer,0.05,138375,27.51,0.05
observer,0.05,138385,27.51,0.05
observer,0.05,138395,27.51,0.05
observer,0.05,138405,27.51,0.05
observer,0.05,138415,27.51,0.05
observer,0.05,138425,27.51,0.05
observer,0.05,138435,27.51,0.05
observer,0.05,138445,27.51,0.05
observer,0.05,138455,27.51,0.05
observer,0.05,138465,27.51,0.05
observer,0.05,138475,27.51,0.05
observer,0.05,138485,27.51,0.05
observer,0.05,138495,27.51,0.05
observer,0.05,138505,27.51,0.05
observer,0.05,138515,27.51,0.05
observer,0.05,138525,27.51,0.05
observer,0.05,138535,27.51,0.05
observer,0.05,138545,27.51,0.05
observer,0.05,138555,27.51,0.05
observer,0.05,138565,27.51,0.05
observer,0.05,138575,27.51,0.05
observer,0.05,138585,27.51,0.05
observer,0.05,138595,27.51,0.05
observer,0.05,138605,27.51,0.05
observer,0.05,138615,27.51,0.05
observer,0.05,138625,27.51,0.05
observer,0.05,138635,27.51,0.05
observer,0.05,138645,27.51,0.05
observer,0.05,138655,27.51,0.05
observer,0.05,138665,27.51,0.05
observer,0.05,138675,27.51,0.05
observer,0.05,138685,27.51,0.05
observer,0.05,138695,27.51,0.05
observer,0.05,138705,27.51,0.05
observer,0.05,138715,27.51,0.05
observer,0.05,138725,27.51,0.05
observer,0.05,138735,27.51,0.05
observer,0.05,138745,27.51,0.05
observer,0.05,138755,27.51,0.05
observer,0.05,138765,27.51,0.05
observer,0.05,138775,27.51,0.05
observer,0.05,138785,27.51,0.05
observer,0.05,138795,27.51,0.05
observer,0.05,138805,27.51,0.05
observer,0.05,138815,27.51,0.05
observer,0.05,138825,27.51,0.05
observer,0.05,138835,27.51,0.05
observer,0.05,138845,27.51,0.05
observer,0.05,138855,27.51,0.05
observer,0.05,138865,27.51,0.05
observer,0.05,138875,27.51,0.05
observer,0.05,138885,27.51,0.05
observer,0.05,138895,27.51,0.05
observer,0.05,138905,27.51,0.05
observer,0.05,138915,27.51,0.05
observer,0.05,138925,27.51,0.05
observer,0.05,138935,27.51,0.05
observer,0.05,138945,27.51,0.05
observer,0.05,138955,27.51,0.05
observer,0.05,138965,27.51,0.05
observer,0.05,138975,27.51,0.05
observer,0.05,138985,27.51,0.05
observer,0.05,138995,27.51,0.05
observer,0.05,139005,27.51,0.05
observer,0.05,139015,27.51,0.05
observer,0.05,139025,27.51,0.05
observer,0.05,139035,27.51,0.05
observer,0.05,139045,27.51,0.05
observer,0.05,139055,27.51,0.05
observer,0.05,139065,27.51,0.05
observer,0.05,139075,27.51,0.05
observer,0.05,139085,27.51,0.05
observer,0.05,139095,27.51,0.05
observer,0.05,139105,27.51,0.05
observer,0.05,139115,27.51,0.05
observer,0.05,139125,27.51,0.05
observer,0.05,139135,27.51,0.05
observer,0.05,139145,27.51,0.05
observer,0.05,139155,27.51,0.05
observer,0.05,139165,27.51,0.05
observer,0.05,139175,27.51,0.05
observer,0.05,139185,27.51,0.05
observer,0.05,139195,27.51,0.05
observer,0.05,139205,27.51,0.05
observer,0.05,139215,27.51,0.05
observer,0.05,139225,27.51,0.05
observer,0.05,139235,27.51,0.05
observer,0.05,139245,27.51,0.05
observer,0.05,139255,27.51,0.05
observer,0.05,139265,27.51,0.05
observer,0.05,139275,27.51,0.05
observer,0.05,139285,27.51,0.05
observer,0.05,139295,27.51,0.05
observer,0.05,139305,27.51,0.05
observer,0.05,139315,27.51,0.05
observer,0.05,139325,27.51,0.05
observer,0.05,139335,27.51,0.05
observer,0.05,139345,27.51,0.05
observer,0.05,139355,27.51,0.05
observer,0.05,139365,27.51,0.05
observer,0.05,139375,27.51,0.05
observer,0.05,139385,27.51,0.05
observer,0.05,139395,27.51,0.05
observer,0.05,139405,27.51,0.05
observer,0.05,139415,27.51,0.05
observer,0.05,139425,27.51,0.05
observer,0.05,139435,27.51,0.05
observer,0.05,139445,27.51,0.05
observer,0.05,139455,27.51,0.05
observer,0.05,139465,27.51,0.05
observer,0.05,139475,27.51,0.05
observer,0.05,139485,27.51,0.05
observer,0.05,139495,27.51,0.05
observer,0.05,139505,27.51,0.05
observer,0.05,139515,27.51,0.05
observer,0.05,139525,27.51,0.05
observer,0.05,139535,27.51,0.05
observer,0.05,139545,27.51,0.05
observer,0.05,139555,27.51,0.05
observer,0.05,139565,27.51,0.05
observer,0.05,139575,27.51,0.05
observer,0.05,139585,27.51,0.05
observer,0.05,139595,27.51,0.05
