i_ms,vfilt_cps,duty
0,8499,600
1,8418,600
2,8421,600
3,8385,600
4,8310,600
5,8270,600
6,8244,600
7,8252,600
8,8355,600
9,8445,600
10,8489,600
11,8477,600
12,8460,600
13,8383,600
14,8245,600
15,8233,600
16,8186,600
17,8113,600
18,8083,600
19,8100,600
20,8171,600
21,8239,600
22,8262,600
23,8219,600
24,8155,600
25,8107,600
26,8099,600
27,8182,600
28,8214,600
29,8208,600
30,8140,600
31,8074,600
32,8032,600
33,8078,600
34,8133,600
35,8149,600
36,8101,600
37,8033,600
38,7982,600
39,7969,600
40,8048,600
41,8075,600
42,8069,600
43,7999,600
44,7935,600
45,7925,600
46,7973,600
47,7962,600
48,7918,600
49,7838,600
50,7785,600
51,7773,600
52,7752,600
53,7660,600
54,7592,600
55,7555,600
56,7653,600
57,7688,600
58,7725,600
59,7749,600
60,7829,600
61,7863,600
62,7858,600
63,7792,600
64,7732,600
65,7722,600
66,7770,600
67,7662,600
68,7589,600
69,7547,600
70,7598,600
71,7630,600
72,7598,600
73,7650,600
74,7709,600
75,7727,600
76,7637,600
77,7603,600
78,7578,600
79,7609,600
80,7660,600
81,7766,600
82,7759,600
83,7698,600
84,7611,600
85,7574,600
86,7531,600
87,7584,600
88,7689,600
89,7739,600
90,7669,600
91,7587,600
92,7543,600
93,7565,600
94,7598,600
95,7688,600
96,7723,600
97,7646,600
98,7546,600
99,7500,600
100,7447,600
101,7493,600
102,7592,600
103,7634,600
104,7564,600
105,7471,600
106,7426,600
107,7439,600
108,7476,600
109,7568,600
110,7555,600
111,7442,600
112,7393,600
113,7394,600
114,7401,600
115,7421,600
116,7453,600
117,7391,600
118,7310,600
119,7324,600
120,7266,600
121,7256,600
122,7302,600
123,7201,600
124,7292,600
125,7295,600
126,7240,600
127,7217,600
128,7204,600
129,7215,600
130,7277,600
131,7298,600
132,7195,600
133,7232,600
134,7220,600
135,7166,600
136,7193,600
137,7232,600
138,7326,600
139,7314,600
140,7208,600
141,7162,600
142,7165,600
143,7114,600
144,7145,600
145,7134,600
146,7204,600
147,7235,600
148,7161,600
149,7123,600
150,7121,600
151,7091,600
152,7148,600
153,7111,600
154,7170,600
155,7182,600
156,7093,600
157,7050,600
158,7062,600
159,7082,600
160,7115,600
161,7014,600
162,7062,600
163,7003,600
164,6948,600
165,6938,600
166,6949,600
167,7014,600
168,6984,600
169,7047,600
170,7002,600
171,6929,600
172,6900,600
173,6923,600
174,6951,600
175,6940,600
176,7008,600
177,6997,600
178,6901,600
179,6878,600
180,6885,600
181,6908,600
182,6941,600
183,7028,600
184,7018,600
185,6915,600
186,6917,600
187,6852,600
188,6835,600
189,6840,600
190,6902,600
191,6919,600
192,6818,600
193,6852,600
194,6793,600
195,6764,600
196,6787,600
197,6817,600
198,6805,600
199,6872,600
200,6861,600
201,6768,600
202,6763,600
203,6719,600
204,6749,600
205,6789,600
206,6825,600
207,6773,600
208,6816,600
209,6754,600
210,6725,600
211,6730,600
212,6706,600
213,6745,600
214,6835,600
215,6829,600
216,6742,600
217,6745,600
218,6681,600
219,6663,600
220,6669,600
221,6725,600
222,6619,600
223,6693,600
224,6617,600
225,6591,600
226,6551,600
227,6554,600
228,6575,600
229,6643,600
230,6620,600
231,6686,600
232,6645,600
233,6606,600
234,6614,600
235,6596,600
236,6600,600
237,6655,600
238,6624,600
239,6681,600
240,6634,600
241,6591,600
242,6595,600
243,6576,600
244,6515,600
245,6580,600
246,6555,600
247,6619,600
248,6579,600
249,6539,600
250,6545,600
251,6528,600
252,6532,600
253,6586,600
254,6553,600
255,6608,600
256,6562,600
257,6520,600
258,6467,600
259,6458,600
260,6468,600
261,6528,600
262,6429,600
263,6504,600
264,6432,600
265,6453,600
266,6409,600
267,6403,600
268,6396,600
269,6445,600
270,6540,600
271,6542,600
272,6464,600
273,6416,600
274,6400,600
275,6411,600
276,6437,600
277,6473,600
278,6506,600
279,6456,600
280,6494,600
281,6406,600
282,6402,600
283,6362,600
284,6331,600
285,6371,600
286,6369,600
287,6440,600
288,6436,600
289,6389,600
290,6339,600
291,6317,600
292,6342,600
293,6379,600
294,6437,600
295,6449,600
296,6355,600
297,6330,600
298,6304,600
299,6319,600
300,6310,600
301,6319,600
302,6377,600
303,6461,600
304,6455,600
305,6372,600
306,6375,600
307,6316,600
308,6319,600
309,6339,600
310,6371,600
311,6399,600
312,6307,600
313,6312,600
314,6273,600
315,6273,600
316,6249,600
317,6270,600
318,6306,600
319,6359,600
320,6371,600
321,6276,600
322,6249,600
323,6222,600
324,6183,600
325,6184,600
326,6203,600
327,6249,600
328,6341,600
329,6342,600
330,6266,600
331,6219,600
332,6203,600
333,6169,600
334,6146,600
335,6190,600
336,6192,600
337,6264,600
338,6211,600
339,6242,600
340,6182,600
341,6196,600
342,6184,600
343,6192,600
344,6247,600
345,6151,600
346,6179,600
347,6126,600
348,6098,600
349,6096,600
350,6119,600
351,6153,600
352,6195,600
353,6186,600
354,6249,600
355,6190,600
356,6216,600
357,6152,600
358,6162,600
359,6149,600
360,6155,600
361,6207,600
362,6109,600
363,6136,600
364,6083,600
365,6054,600
366,6052,600
367,6029,600
368,6014,600
369,6063,600
370,6072,600
371,6148,600
372,6099,600
373,6133,600
374,6102,600
375,6113,600
376,6100,600
377,6106,600
378,6141,600
379,6225,600
380,6169,600
381,6201,600
382,6112,600
383,6106,600
384,6078,600
385,6094,600
386,6125,600
387,6175,600
388,6141,600
389,6190,600
390,6105,600
391,6112,600
392,6058,600
393,6066,600
394,6088,600
395,6118,600
396,6102,600
397,6157,600
398,6094,600
