i_ms,vfilt_cps,duty
0,4941,999
1,4904,999
2,4879,999
3,4909,999
4,4933,999
5,4990,999
6,5050,999
7,5129,999
8,5086,999
9,5069,999
10,5131,999
11,5164,999
12,5192,999
13,5262,999
14,5267,999
15,5372,999
16,5505,999
17,5505,999
18,5583,999
19,5582,999
20,5576,999
21,5629,999
22,5658,999
23,5710,999
24,5806,999
25,5930,999
26,5916,999
27,5985,999
28,5936,999
29,5968,999
30,5979,999
31,6036,999
32,6096,999
33,6185,999
34,6234,999
35,6175,999
36,6242,999
37,6213,999
38,6258,999
39,6277,999
40,6261,999
41,6364,999
42,6377,999
43,6478,999
44,6471,999
45,6468,999
46,6508,999
47,6520,999
48,6497,999
49,6602,999
50,6659,999
51,6599,999
52,6672,999
53,6646,999
54,6651,999
55,6707,999
56,6768,999
57,6788,999
58,6886,999
59,6947,999
60,6870,999
61,6869,999
62,6900,999
63,6903,999
64,6970,999
65,6888,999
66,6996,999
67,6987,999
68,6949,999
69,6953,999
70,7007,999
71,7067,999
72,7138,999
73,7113,999
74,7070,999
75,7115,999
76,7087,999
77,7104,999
78,7175,999
79,7265,999
80,7352,999
81,7352,999
82,7267,999
83,7260,999
84,7261,999
85,7289,999
86,7376,999
87,7416,999
88,7363,999
89,7333,999
90,7329,999
91,7360,999
92,7385,999
93,7469,999
94,7508,999
95,7453,999
96,7422,999
97,7419,999
98,7447,999
99,7472,999
100,7553,999
101,7591,999
102,7534,999
103,7460,999
104,7463,999
105,7497,999
106,7526,999
107,7618,999
108,7657,999
109,7666,999
110,7577,999
111,7537,999
112,7544,999
113,7506,999
114,7442,999
115,7575,999
116,7658,999
117,7685,999
118,7636,999
119,7609,999
120,7669,999
121,7737,999
122,7703,999
123,7637,999
124,7628,999
125,7624,999
126,7613,999
127,7694,999
128,7831,999
129,7908,999
130,7932,999
131,7852,999
132,7797,999
133,7782,999
134,7861,999
135,7896,999
136,7833,999
137,7753,999
138,7719,999
139,7730,999
140,7802,999
141,7715,999
142,7663,999
143,7639,999
144,7658,999
145,7717,999
146,7777,999
147,7855,999
148,7989,999
149,8060,999
150,8078,999
151,8047,999
152,7974,999
153,7947,999
154,8018,999
155,8044,999
156,8039,999
157,7976,999
158,7919,999
159,7885,999
160,7940,999
161,8007,999
162,8031,999
163,7943,999
164,7886,999
165,7878,999
166,7932,999
167,7996,999
168,7981,999
169,7935,999
170,7866,999
171,7841,999
172,7864,999
173,7944,999
174,7960,999
175,7939,999
176,7881,999
177,7848,999
178,7859,999
179,7932,999
180,8010,999
181,8002,999
182,7962,999
183,7898,999
184,7913,999
185,7932,999
186,8008,999
187,8021,999
188,7997,999
189,7937,999
190,7903,999
191,7912,999
192,7980,999
193,8055,999
194,8047,999
195,8007,999
196,7942,999
197,7921,999
198,7946,999
199,8027,999
200,8104,999
201,8138,999
202,8056,999
203,8003,999
204,8001,999
205,8059,999
206,8150,999
207,8191,999
208,8194,999
209,8137,999
210,8082,999
211,8049,999
212,8106,999
213,8175,999
214,8203,999
215,8166,999
216,8109,999
217,8130,999
218,8145,999
219,8229,999
220,8307,999
221,8343,999
222,8331,999
223,8312,999
224,8308,999
225,8333,999
226,8425,999
227,8283,999
228,8223,999
229,8193,999
230,8176,999
231,8112,999
232,8023,999
233,8022,999
234,7978,999
235,7955,999
236,7975,999
237,8055,999
238,8136,999
239,8131,999
240,8160,999
241,8083,999
242,8052,999
243,8037,999
244,8112,999
245,8193,999
246,8229,999
247,8274,999
248,8264,999
249,8266,999
250,8267,999
251,8342,999
252,8410,999
253,8440,999
254,8418,999
255,8395,999
256,8318,999
257,8181,999
258,8081,999
259,8019,999
260,8022,999
261,8008,999
262,8044,999
263,8132,999
264,8215,999
265,8254,999
266,8226,999
267,8173,999
268,8140,999
269,8144,999
270,8245,999
271,8339,999
272,8387,999
273,8382,999
274,8372,999
275,8374,999
276,8407,999
277,8504,999
278,8362,999
279,8299,999
280,8269,999
281,8252,999
282,8303,999
283,8293,999
284,8253,999
285,8175,999
286,8127,999
287,8105,999
288,8119,999
289,8226,999
290,8280,999
291,8343,999
292,8351,999
293,8349,999
294,8360,999
295,8399,999
296,8500,999
297,8361,999
298,8301,999
299,8275,999
300,8261,999
301,8314,999
302,8306,999
303,8267,999
304,8191,999
305,8155,999
306,8133,999
307,8145,999
308,8251,999
309,8353,999
310,8406,999
311,8407,999
312,8400,999
313,8403,999
314,8436,999
315,8295,999
316,8202,999
317,8182,999
318,8184,999
319,8194,999
320,8265,999
321,8334,999
322,8360,999
323,8321,999
324,8262,999
325,8221,999
326,8221,999
327,8320,999
328,8410,999
329,8456,999
330,8452,999
331,8391,999
332,8331,999
333,8208,999
334,8209,999
335,8176,999
336,8117,999
337,8101,999
338,8132,999
339,8208,999
340,8293,999
341,8331,999
342,8376,999
343,8365,999
344,8369,999
345,8369,999
346,8443,999
347,8329,999
348,8258,999
349,8236,999
350,8220,999
351,8275,999
352,8340,999
353,8379,999
354,8384,999
355,8323,999
356,8266,999
357,8235,999
358,8310,999
359,8442,999
360,8508,999
361,8522,999
362,8462,999
363,8423,999
364,8336,999
365,8333,999
366,8298,999
367,8226,999
368,8178,999
369,8161,999
370,8178,999
371,8288,999
372,8391,999
373,8447,999
374,8451,999
375,8445,999
376,8451,999
377,8309,999
378,8204,999
379,8180,999
380,8126,999
381,8113,999
382,8147,999
383,8229,999
384,8314,999
385,8354,999
386,8401,999
